row_type,dataset,feature,window_fraction,window_ordinal,window_start_cycle,window_end_cycle,window_count,local_spearman,local_spearman_pvalue,local_kendall,local_kendall_pvalue,robust_local_slope,slope_sign,bootstrap_sign_stability,positive_significant_fraction,negative_significant_fraction,positive_longest_span_fraction,negative_longest_span_fraction,mean_bootstrap_sign_stability,PERSISTENT_DIRECTION_REVERSAL,passed
window,Exp1,rx_mean,0.1,0.0,10.5,4565.5,912.0,-0.9919458294208667,0.0,-0.9402093323319276,0.0,-1.0995223260431788e-05,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,1.0,1150.5,5705.5,912.0,-0.9791405233537154,0.0,-0.8878040325842048,0.0,-3.1089873613664718e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,2.0,2290.5,6845.5,912.0,-0.962670702874629,0.0,-0.8409786816107228,0.0,-1.919472097948667e-06,-1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,3.0,3430.5,7985.5,912.0,-0.461871303616875,2.202412544848404e-49,-0.5091281992027269,3.0201486908799397e-117,-1.2897224465055385e-06,-1.0,0.43333333333333335,,,,,,,
window,Exp1,rx_mean,0.1,4.0,4570.5,9125.5,912.0,0.3938286193793287,3.3160634495871913e-35,0.07936141121189362,0.00033308751249671616,6.9732552227162275e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,5.0,5710.5,10265.5,912.0,0.4827287711658402,2.050976365638219e-54,0.12281664644597223,2.8110467121083222e-08,5.761114374333916e-06,1.0,1.0,,,,,,,
window,Exp1,rx_mean,0.1,6.0,6850.5,11405.5,912.0,0.14493802077147183,1.111548599627476e-05,0.0345340574267722,0.1184383512780618,1.531585205675912e-06,1.0,0.9333333333333333,,,,,,,
window,Exp1,rx_mean,0.1,7.0,7990.5,12545.5,912.0,-0.2657630295339837,3.292975158003986e-16,-0.2452048067479346,1.4627917124300567e-28,-8.181955874338368e-07,-1.0,0.9,,,,,,,
window,Exp1,rx_mean,0.1,8.0,9130.5,13685.5,912.0,0.12931798517975915,8.987464780086746e-05,-0.06418626148246577,0.003707831248856392,1.4661014651865655e-07,1.0,0.5666666666666667,,,,,,,
window,Exp1,rx_mean,0.1,9.0,10270.5,14825.5,912.0,-0.2621428418203826,8.49762212014271e-16,-0.34599052516032125,3.7080180998701376e-55,-1.3781324775935814e-06,-1.0,0.5666666666666667,,,,,,,
window,Exp1,rx_mean,0.1,10.0,11410.5,15965.5,912.0,-0.18498126034250076,1.83070641847186e-08,-0.2615402391819285,2.905257529614795e-32,-6.0931554836608e-07,-1.0,0.26666666666666666,,,,,,,
