row_type,dataset,feature_configuration,block_id,block_start_cycle,block_end_cycle,block_windows,pair_count,coefficients_json,coef__rx_mean,coef__rx_absmean,coef__rx_q05,coef__ry_mean,coef__ry_absmean,coef__ry_q05,coef__ry_p2p,coef__rs_mean,coef__rs_rms,left_block,right_block,comparison,coefficient_cosine,adjacent_cosine_median,adjacent_negative_fraction,distant_cosine_median,stable_major_coefficient_reversal,RANK_DIRECTION_INSTABILITY,passed
block,Exp1,F_core_v45,0.0,10.5,9120.5,1823.0,800.0,"[-1.2643105983567735, -1.2643105983567735, 0.6327918502059043, 0.454333398800914, 1.4460667951099495, 2.017826858258514, 1.6004696878672127, -0.811005659476104, -2.2739424025402593]",-1.2643105983567735,-1.2643105983567735,0.6327918502059043,0.454333398800914,1.4460667951099495,2.017826858258514,1.6004696878672127,-0.811005659476104,-2.2739424025402593,,,,,,,,,,
block,Exp1,F_core_v45,1.0,2290.5,11400.5,1823.0,800.0,"[-0.680053555505969, -0.680053555505969, 1.8069143324939274, -0.7568809459783045, 1.0540122803851655, -0.09229819091171572, 2.332688388297277, 0.01627291007527074, -1.941992067715266]",-0.680053555505969,-0.680053555505969,1.8069143324939274,-0.7568809459783045,1.0540122803851655,-0.09229819091171572,2.332688388297277,0.01627291007527074,-1.941992067715266,,,,,,,,,,
block,Exp1,F_core_v45,2.0,4570.5,13680.5,1823.0,800.0,"[0.47104191157493464, 0.47104191157493464, 1.8626260666432344, -0.15552618345439567, 0.5031948538425199, -0.5604690275343577, 0.31088363880415915, 0.5548670056028826, -2.463985189471063]",0.47104191157493464,0.47104191157493464,1.8626260666432344,-0.15552618345439567,0.5031948538425199,-0.5604690275343577,0.31088363880415915,0.5548670056028826,-2.463985189471063,,,,,,,,,,
block,Exp1,F_core_v45,3.0,6850.5,15960.5,1823.0,800.0,"[1.8344153876080938, 1.8344153876080938, 0.04688949679473879, -1.0271100697543687, -0.8773440648617333, -0.7692174038365239, 0.14972318830305048, -1.7346632242773048, -1.9724273630156635]",1.8344153876080938,1.8344153876080938,0.04688949679473879,-1.0271100697543687,-0.8773440648617333,-0.7692174038365239,0.14972318830305048,-1.7346632242773048,-1.9724273630156635,,,,,,,,,,
block,Exp1,F_core_v45,4.0,9130.5,18240.5,1823.0,800.0,"[-0.9150595647746111, -0.9150595647746111, 0.7492417937676562, -0.18372604829356873, 0.1576746726107164, 1.2022020446192294, 0.18754543289730485, -1.7007411186832968, 0.9973335195808146]",-0.9150595647746111,-0.9150595647746111,0.7492417937676562,-0.18372604829356873,0.1576746726107164,1.2022020446192294,0.18754543289730485,-1.7007411186832968,0.9973335195808146,,,,,,,,,,
block,Exp1,F_core_v45,5.0,11410.5,20520.5,1823.0,800.0,"[-0.5674564207092392, -0.5674564207092392, -0.5658689103079141, 0.7398188037196026, -0.21781000963635475, -0.8576715000515156, 0.4539496831709911, -1.2177545352308639, 1.2984582734197674]",-0.5674564207092392,-0.5674564207092392,-0.5658689103079141,0.7398188037196026,-0.21781000963635475,-0.8576715000515156,0.4539496831709911,-1.2177545352308639,1.2984582734197674,,,,,,,,,,
block,Exp1,F_core_v45,6.0,13690.5,22800.5,1823.0,800.0,"[0.5575677734891491, 0.5723982353063359, -0.6859773665095588, 0.7733107096491444, -0.6090577551356574, -1.5313605365275242, 0.26706319210640594, 0.7488282033315113, -2.118209282280917]",0.5575677734891491,0.5723982353063359,-0.6859773665095588,0.7733107096491444,-0.6090577551356574,-1.5313605365275242,0.26706319210640594,0.7488282033315113,-2.118209282280917,,,,,,,,,,
block,Exp1,F_core_v45,7.0,15970.5,25080.5,1823.0,800.0,"[0.5199744437598437, 0.5002024160437918, -0.54712910997372, 2.1655579109496554, -2.058243015577395, -2.52865370040538, -0.798986117030482, 1.770454700774772, -2.23464982691531]",0.5199744437598437,0.5002024160437918,-0.54712910997372,2.1655579109496554,-2.058243015577395,-2.52865370040538,-0.798986117030482,1.770454700774772,-2.23464982691531,,,,,,,,,,
block,Exp1,F_core_v45,8.0,18250.5,27360.5,1823.0,800.0,"[-0.49855450764261094, -0.447645944193701, 1.1057257093458723, 1.3191426873102692, -1.3545938211124027, -0.9003100989483857, 0.798096799972496, -0.16656336809858036, -1.5748426014634291]",-0.49855450764261094,-0.447645944193701,1.1057257093458723,1.3191426873102692,-1.3545938211124027,-0.9003100989483857,0.798096799972496,-0.16656336809858036,-1.5748426014634291,,,,,,,,,,
block,Exp1,F_core_v45,9.0,20530.5,29640.5,1823.0,800.0,"[-0.5833964007291658, -0.5887462684586604, -1.5346623175786323, 1.4141873160503045, -1.8523533477576273, -0.787059459889395, 1.935563108430474, -0.4147086053452368, 0.03181891585820804]",-0.5833964007291658,-0.5887462684586604,-1.5346623175786323,1.4141873160503045,-1.8523533477576273,-0.787059459889395,1.935563108430474,-0.4147086053452368,0.03181891585820804,,,,,,,,,,
