direction,source_dataset,row_type,segment_id,regime,regime_id,start_cycle,end_cycle,duration,selected_k,source_structure_hash,centre_json,variance_json,mean_duration,novelty_threshold
Exp1_to_Exp2,Exp1,source_segment,0.0,REGIME_0,0,10.5,7605.5,7595.0,2,84ddc3215a9a64e6927b6b1b06e924a3f2a8a6d4353afe884619371b441c8725,,,,
Exp1_to_Exp2,Exp1,source_segment,1.0,REGIME_0,0,7610.5,23760.5,16150.0,2,84ddc3215a9a64e6927b6b1b06e924a3f2a8a6d4353afe884619371b441c8725,,,,
Exp1_to_Exp2,Exp1,source_segment,2.0,REGIME_0,0,23765.5,27940.5,4175.0,2,84ddc3215a9a64e6927b6b1b06e924a3f2a8a6d4353afe884619371b441c8725,,,,
Exp1_to_Exp2,Exp1,source_segment,3.0,REGIME_0,0,27945.5,34590.5,6645.0,2,84ddc3215a9a64e6927b6b1b06e924a3f2a8a6d4353afe884619371b441c8725,,,,
Exp1_to_Exp2,Exp1,source_segment,4.0,REGIME_0,0,34595.5,41430.5,6835.0,2,84ddc3215a9a64e6927b6b1b06e924a3f2a8a6d4353afe884619371b441c8725,,,,
Exp1_to_Exp2,Exp1,source_segment,5.0,REGIME_1,1,41435.5,45580.5,4145.0,2,84ddc3215a9a64e6927b6b1b06e924a3f2a8a6d4353afe884619371b441c8725,,,,
Exp1_to_Exp2,Exp1,source_prototype,,REGIME_0,0,,,,2,84ddc3215a9a64e6927b6b1b06e924a3f2a8a6d4353afe884619371b441c8725,"[-1.45067282e-02,-1.44192940e-02,-1.98166032e-01, 2.69164050e-01,
 -2.55214751e-01, 3.02355751e-01,-2.12742537e-01,-1.16317219e-01,
 -5.83255440e-02,-5.09511433e-05, 4.67949523e-02,-6.72847860e-05,
  1.09864575e-01,-7.73804520e-05, 1.71117017e-01, 2.64293087e-05,
  4.18829209e-01,-4.93017945e-02,-2.43645880e-01]","[6.85581639e-01,6.85587260e-01,1.24624657e+00,4.97673997e-01,
 4.78432192e-01,1.37337709e+00,1.54977940e+00,6.50835812e-01,
 6.50296941e-01,1.00000000e-05,5.67482021e-03,1.00000000e-05,
 2.02950337e-02,1.00000000e-05,3.54265603e-02,1.00000000e-05,
 2.43411303e-01,2.77783064e-01,3.88547709e-01]",8280.0,2.5322773814627126
Exp1_to_Exp2,Exp1,source_prototype,,REGIME_1,1,,,,2,84ddc3215a9a64e6927b6b1b06e924a3f2a8a6d4353afe884619371b441c8725,"[ 1.00633242e+00, 1.00653651e+00,-2.48453400e-01,-4.83165228e+00,
  4.92005408e+00,-6.76081107e+00, 1.76493977e+00, 2.61730749e+00,
  2.61368709e+00,-2.89257638e-05, 7.04472416e-02, 1.93934871e-05,
  2.14720046e-01, 3.91908275e-05, 3.73309832e-01,-6.81165913e-05,
  3.57831325e-01,-2.50557910e-01, 4.52996743e+00]","[1.48008125e-02,1.48382830e-02,4.07013799e-01,3.46851200e-02,
 3.59771547e-02,2.53716172e-01,1.17377439e+00,2.24313488e-02,
 2.45769688e-02,1.00000000e-05,7.18739772e-03,1.00000000e-05,
 1.05418544e-01,1.00000000e-05,1.91663902e-01,1.00000000e-05,
 2.29788068e-01,1.93264247e-01,3.58134857e-02]",4145.0,2.5322773814627126
Exp2_to_Exp1,Exp2,source_segment,0.0,REGIME_0,0,10.5,3000.5,2990.0,2,eaf08d8eba66ef2e20064ca5142e678cb7f2c63eb362a8cfd2db2c6b845c917d,,,,
Exp2_to_Exp1,Exp2,source_segment,1.0,REGIME_0,0,3005.5,6875.5,3870.0,2,eaf08d8eba66ef2e20064ca5142e678cb7f2c63eb362a8cfd2db2c6b845c917d,,,,
