window_index,stage,candidate_id,prototype_recomputed,direction_id,ablation
216,2,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
217,2,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
218,2,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
219,2,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
220,2,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
221,2,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
222,2,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
223,2,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
224,2,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
225,2,STABLE,1,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
942,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
943,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
944,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
945,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
946,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
947,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
948,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
949,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
950,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
951,4,STABLE,1,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
952,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
953,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
954,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
955,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
956,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
957,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
958,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
959,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
960,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
961,4,STABLE,1,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
962,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1237,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1238,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1239,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1240,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1241,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1242,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1243,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1244,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1245,4,STABLE,1,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1246,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1247,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1248,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1249,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1250,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1251,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1252,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1253,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1254,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1255,4,STABLE,1,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1256,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1258,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1259,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1260,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1261,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1263,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1264,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1265,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1266,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1267,4,STABLE,1,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1268,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1269,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1270,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1271,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1272,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1273,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1274,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1275,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1276,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1277,4,STABLE,1,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1278,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1280,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1282,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1284,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1536,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1538,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1539,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1541,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1542,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1543,4,STABLE,1,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1544,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1545,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1546,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1547,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1548,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1549,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1550,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1551,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1552,4,STABLE,0,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
