stage,support,level_radius,trajectory_radius,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14,level_15,level_16,trajectory_1,trajectory_2,trajectory_3,trajectory_4,trajectory_5,trajectory_6,trajectory_7,trajectory_8,trajectory_9,trajectory_10,trajectory_11,trajectory_12,trajectory_13,trajectory_14,trajectory_15,trajectory_16,trajectory_17,trajectory_18,trajectory_19,trajectory_20,trajectory_21,trajectory_22,trajectory_23,trajectory_24,trajectory_25,trajectory_26,trajectory_27,trajectory_28,trajectory_29,trajectory_30,trajectory_31,trajectory_32,trajectory_33,trajectory_34,trajectory_35,trajectory_36,trajectory_37,trajectory_38,trajectory_39,trajectory_40,trajectory_41,trajectory_42,trajectory_43,trajectory_44,trajectory_45,trajectory_46,trajectory_47,trajectory_48,direction_id,ablation
1,0,6.300764653133228e-06,6.301920620899182e-06,-0.28181976,-0.29397604,-0.23286736,-0.35874438,0.21904315,-0.124328226,0.17509586,-0.08922008,0.20309019,0.22251673,-0.08810979,0.34689328,0.2982971,-0.24565147,0.37298587,-0.20462038,-0.28181976,-0.29397604,-0.23286736,-0.35874438,0.21904315,-0.124328226,0.17509586,-0.08922008,0.20309019,0.22251673,-0.08810979,0.34689328,0.2982971,-0.24565147,0.37298587,-0.20462038,-5.3570876e-10,-1.5366382e-09,-1.0925638e-09,1.959566e-09,-2.6080555e-09,2.653873e-09,-1.0643687e-09,-2.4142137e-09,-3.0098373e-09,3.1014716e-10,1.9877613e-09,-1.4097598e-11,3.0027885e-09,3.334082e-09,1.085515e-09,-4.8284274e-09,1.085515e-09,-4.3350115e-09,-2.9851663e-09,2.6362508e-09,-3.915608e-09,5.4310996e-09,-1.7762973e-09,-4.386115e-09,-6.097211e-09,1.5507358e-09,4.2116572e-09,1.5507358e-10,2.1216886e-09,4.324438e-09,2.0652982e-09,-7.0875674e-09,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
2,10,1.4102239731528243e-07,1.5995404112345568e-07,-0.28182012,-0.29397744,-0.2328686,-0.35874867,0.21904424,-0.12432697,0.17509791,-0.089220054,0.20308805,0.2225151,-0.08810932,0.3468929,0.2982958,-0.24565169,0.3729861,-0.20462103,-0.28182012,-0.29397744,-0.2328686,-0.35874867,0.21904424,-0.12432697,0.17509791,-0.089220054,0.20308805,0.2225151,-0.08810932,0.3468929,0.2982958,-0.24565169,0.3729861,-0.20462103,-4.4703485e-09,4.61936e-08,-4.991889e-08,3.576279e-08,3.5017727e-08,3.2037498e-08,6.7055225e-08,2.7939677e-08,-1.8626451e-08,-1.4901161e-08,5.5879354e-09,4.172325e-08,1.1920929e-08,0.0,-2.2351742e-08,1.7136335e-08,3.5017727e-08,1.7136335e-08,-6.3329935e-08,2.7567149e-08,-3.3900143e-08,5.9232114e-08,4.172325e-08,-3.4086405e-08,-6.109476e-08,1.6391278e-08,9.126961e-09,2.30968e-08,2.7567149e-08,-3.1664968e-08,-3.8743018e-08,-8.232892e-08,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
3,40,0.5480126142501831,0.7685055732727051,-0.32103643,-0.06898179,0.30872342,0.01989704,0.30653778,-0.33099252,-0.067295745,0.13552155,0.269512,-0.042126007,-0.20413001,-0.1763708,-0.18748015,0.055099607,-0.26722935,0.41671976,-0.32103643,-0.06898179,0.30872342,0.01989704,0.30653778,-0.33099252,-0.067295745,0.13552155,0.269512,-0.042126007,-0.20413001,-0.1763708,-0.18748015,0.055099607,-0.26722935,0.41671976,-0.020379426,0.022762464,0.06231422,0.043831892,0.028855706,-0.03201243,-0.028116167,0.02112188,0.023520362,-0.041687373,-0.021403208,-0.0522482,-0.050991423,0.026057744,-0.09165939,0.08392863,-0.00980408,0.05624894,0.13539799,0.09466144,0.021873366,-0.051666368,-0.060598385,0.056185402,0.016605962,-0.06616027,-0.029005174,-0.13081591,-0.121444,0.07518782,-0.1600539,0.15533516,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
4,127,7.400109325317317e-07,7.568429509774433e-07,-0.2818202,-0.29397747,-0.23286824,-0.3587491,0.21904415,-0.12432695,0.17509784,-0.08921988,0.20308828,0.2225151,-0.08810931,0.34689322,0.29829568,-0.24565135,0.37298593,-0.20462082,-0.2818202,-0.29397747,-0.23286824,-0.3587491,0.21904415,-0.12432695,0.17509784,-0.08921988,0.20308828,0.2225151,-0.08810931,0.34689322,0.29829568,-0.24565135,0.37298593,-0.20462082,-1.6142925e-09,-2.1109978e-09,1.4652809e-08,7.4505807e-10,-1.359731e-08,-5.3395826e-09,-1.5335779e-08,-4.687657e-09,9.126961e-09,-1.3659398e-09,-3.6942462e-09,-4.0978194e-09,-1.3659398e-09,1.2355546e-08,1.39077505e-08,-6.45717e-09,-2.514571e-08,-9.064873e-09,2.9833366e-08,-6.2088173e-10,-1.2976428e-08,-8.211161e-09,-3.0950954e-08,1.435789e-08,2.8467428e-08,-6.860743e-09,-5.727634e-09,7.512669e-09,-1.763304e-08,4.104028e-08,4.3585896e-08,1.3411045e-08,Exp1_to_Exp2,A3_ORDERED_LEVEL_ONLY
1,0,6.300764653133228e-06,6.301920620899182e-06,-0.28181976,-0.29397604,-0.23286736,-0.35874438,0.21904315,-0.124328226,0.17509586,-0.08922008,0.20309019,0.22251673,-0.08810979,0.34689328,0.2982971,-0.24565147,0.37298587,-0.20462038,-0.28181976,-0.29397604,-0.23286736,-0.35874438,0.21904315,-0.124328226,0.17509586,-0.08922008,0.20309019,0.22251673,-0.08810979,0.34689328,0.2982971,-0.24565147,0.37298587,-0.20462038,-5.3570876e-10,-1.5366382e-09,-1.0925638e-09,1.959566e-09,-2.6080555e-09,2.653873e-09,-1.0643687e-09,-2.4142137e-09,-3.0098373e-09,3.1014716e-10,1.9877613e-09,-1.4097598e-11,3.0027885e-09,3.334082e-09,1.085515e-09,-4.8284274e-09,1.085515e-09,-4.3350115e-09,-2.9851663e-09,2.6362508e-09,-3.915608e-09,5.4310996e-09,-1.7762973e-09,-4.386115e-09,-6.097211e-09,1.5507358e-09,4.2116572e-09,1.5507358e-10,2.1216886e-09,4.324438e-09,2.0652982e-09,-7.0875674e-09,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
2,10,1.4102239731528243e-07,1.5995404112345568e-07,-0.28182012,-0.29397744,-0.2328686,-0.35874867,0.21904424,-0.12432697,0.17509791,-0.089220054,0.20308805,0.2225151,-0.08810932,0.3468929,0.2982958,-0.24565169,0.3729861,-0.20462103,-0.28182012,-0.29397744,-0.2328686,-0.35874867,0.21904424,-0.12432697,0.17509791,-0.089220054,0.20308805,0.2225151,-0.08810932,0.3468929,0.2982958,-0.24565169,0.3729861,-0.20462103,-4.4703485e-09,4.61936e-08,-4.991889e-08,3.576279e-08,3.5017727e-08,3.2037498e-08,6.7055225e-08,2.7939677e-08,-1.8626451e-08,-1.4901161e-08,5.5879354e-09,4.172325e-08,1.1920929e-08,0.0,-2.2351742e-08,1.7136335e-08,3.5017727e-08,1.7136335e-08,-6.3329935e-08,2.7567149e-08,-3.3900143e-08,5.9232114e-08,4.172325e-08,-3.4086405e-08,-6.109476e-08,1.6391278e-08,9.126961e-09,2.30968e-08,2.7567149e-08,-3.1664968e-08,-3.8743018e-08,-8.232892e-08,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
3,40,0.5480126142501831,0.7685055732727051,-0.32103643,-0.06898179,0.30872342,0.01989704,0.30653778,-0.33099252,-0.067295745,0.13552155,0.269512,-0.042126007,-0.20413001,-0.1763708,-0.18748015,0.055099607,-0.26722935,0.41671976,-0.32103643,-0.06898179,0.30872342,0.01989704,0.30653778,-0.33099252,-0.067295745,0.13552155,0.269512,-0.042126007,-0.20413001,-0.1763708,-0.18748015,0.055099607,-0.26722935,0.41671976,-0.020379426,0.022762464,0.06231422,0.043831892,0.028855706,-0.03201243,-0.028116167,0.02112188,0.023520362,-0.041687373,-0.021403208,-0.0522482,-0.050991423,0.026057744,-0.09165939,0.08392863,-0.00980408,0.05624894,0.13539799,0.09466144,0.021873366,-0.051666368,-0.060598385,0.056185402,0.016605962,-0.06616027,-0.029005174,-0.13081591,-0.121444,0.07518782,-0.1600539,0.15533516,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
4,114,7.442212677233329e-07,7.499775165342726e-07,-0.2818203,-0.29397765,-0.23286824,-0.3587491,0.21904418,-0.12432698,0.17509778,-0.08921989,0.20308824,0.22251509,-0.08810934,0.34689322,0.29829583,-0.24565136,0.37298593,-0.20462087,-0.2818203,-0.29397765,-0.23286824,-0.3587491,0.21904418,-0.12432698,0.17509778,-0.08921989,0.20308824,0.22251509,-0.08810934,0.34689322,0.29829583,-0.24565136,0.37298593,-0.20462087,-1.6255812e-09,-3.2511625e-09,1.4697964e-08,1.354651e-10,-1.273372e-08,-4.4703485e-09,-1.4833429e-08,-5.2154063e-09,8.805231e-09,-1.2191859e-09,-2.9124998e-09,-2.1674416e-09,3.1156973e-09,1.0769476e-08,1.2327324e-08,-7.518313e-09,-2.2893602e-08,-9.685754e-09,2.6957554e-08,1.354651e-10,-1.4494766e-08,-5.2323395e-09,-3.1156972e-08,1.1937862e-08,2.4349852e-08,-5.8249996e-09,-3.6067582e-09,8.805231e-09,-1.40883705e-08,4.0436333e-08,4.2129646e-08,9.177761e-09,Exp1_to_Exp2,A4_ORDERED_LEVEL_TRAJECTORY
1,0,6.300764653133228e-06,6.301920620899182e-06,-0.28181976,-0.29397604,-0.23286736,-0.35874438,0.21904315,-0.124328226,0.17509586,-0.08922008,0.20309019,0.22251673,-0.08810979,0.34689328,0.2982971,-0.24565147,0.37298587,-0.20462038,-0.28181976,-0.29397604,-0.23286736,-0.35874438,0.21904315,-0.124328226,0.17509586,-0.08922008,0.20309019,0.22251673,-0.08810979,0.34689328,0.2982971,-0.24565147,0.37298587,-0.20462038,-5.3570876e-10,-1.5366382e-09,-1.0925638e-09,1.959566e-09,-2.6080555e-09,2.653873e-09,-1.0643687e-09,-2.4142137e-09,-3.0098373e-09,3.1014716e-10,1.9877613e-09,-1.4097598e-11,3.0027885e-09,3.334082e-09,1.085515e-09,-4.8284274e-09,1.085515e-09,-4.3350115e-09,-2.9851663e-09,2.6362508e-09,-3.915608e-09,5.4310996e-09,-1.7762973e-09,-4.386115e-09,-6.097211e-09,1.5507358e-09,4.2116572e-09,1.5507358e-10,2.1216886e-09,4.324438e-09,2.0652982e-09,-7.0875674e-09,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
2,10,1.3903860462960438e-07,1.6128853985719616e-07,-0.28182015,-0.29397744,-0.23286861,-0.35874867,0.21904422,-0.12432698,0.17509791,-0.089220054,0.20308805,0.22251509,-0.088109314,0.34689292,0.29829583,-0.24565169,0.3729861,-0.20462106,-0.28182015,-0.29397744,-0.23286861,-0.35874867,0.21904422,-0.12432698,0.17509791,-0.089220054,0.20308805,0.22251509,-0.088109314,0.34689292,0.29829583,-0.24565169,0.3729861,-0.20462106,-9.313226e-09,4.3047798e-08,-5.7742e-08,3.8080746e-08,3.6188535e-08,3.290673e-08,6.953875e-08,2.7939677e-08,-2.341611e-08,-1.4901161e-08,7.916242e-09,4.683222e-08,3.7252903e-09,5.5879354e-09,-2.4835268e-08,1.6142925e-08,3.259629e-08,1.9557774e-08,-6.6589564e-08,2.7939677e-08,-3.3527613e-08,5.7742e-08,4.0978193e-08,-3.432589e-08,-6.3329935e-08,1.6497713e-08,9.080395e-09,2.514571e-08,2.566311e-08,-3.1664968e-08,-3.7252903e-08,-8.408512e-08,Exp1_to_Exp2,A5_ROBUST_MEMORY_DISCOVERY
