source_dataset,change_threshold,candidate_min_windows,min_dwell_windows,selection_score,Stage5_AUROC,Stage5_AUPRC,Stage45_AUROC,Stage45_AUPRC,Ordinal_MAE,ordinal_macro_F1,risk_stage_spearman,Stage5_recall,Stage1to2_false_high_rate,ECE,Brier,mean_posterior_entropy,mean_confidence,exact_Stage5_recall,LateState_recall,stable_stage5_detection_cycle,lead_lag_cycles,Stage1to2_false_alarm_rate,mean_boundary_MAE,missed_transition_count,extra_transition_count,early_false_transition_count
Exp1,2.0,15,50,0.4697266955329853,0.9530745198281677,0.7433546551091089,0.7569318043926708,0.7408798823796426,0.9867500920132499,0.1156167734780937,0.6871221528271332,1.0,0.024603174603174603,0.2877421150715828,0.2560943423061087,0.9920755057779381,0.6494503476748283,0.0,1.0,,,0.0,11435.0,1,0,3
Exp1,2.0,15,100,0.4711775803425222,0.9530745198281677,0.7433546551091089,0.7594193665817255,0.7433546551091089,0.9230769230769231,0.10484700427877258,0.7221451379586783,1.0,0.024603174603174603,0.25430093384356645,0.2300404899992854,0.990077135445184,0.6454461421935773,0.0,1.0,,,0.0,11378.333333333334,1,0,3
Exp1,2.0,15,200,0.44263992069324476,0.8400226032828014,0.45225064378482804,0.7594193665817255,0.7433546551091089,0.9252852410747148,0.10725454688560339,0.7534130364257872,1.0,0.010317460317460317,0.2659193372865885,0.2533567028296672,0.9552339179347927,0.6742257303188386,0.0,1.0,,,0.0,11155.0,1,0,3
Exp1,2.0,25,50,0.43464659859785937,0.7754908225938154,0.37671485112307734,0.7569318043926708,0.7408798823796426,0.9742362900257637,0.12002469298277682,0.6904365249525459,1.0,0.007142857142857143,0.308587789679167,0.28452853168877223,0.9603912847777649,0.6719220817306113,0.0,1.0,,,0.0,11348.333333333334,1,0,3
Exp1,2.0,25,100,0.459931300148293,0.9168182920912179,0.6069278012407733,0.7594193665817255,0.7433546551091089,0.8700772911299227,0.10307225966352507,0.7866440021765138,1.0,0.007142857142857143,0.23138407607747416,0.22197180834589555,0.9684754740394623,0.6639986128118975,0.0,1.0,,,0.0,11265.0,1,0,3
Exp1,2.0,25,200,0.4450760481239868,0.8497147962746003,0.4666472467273058,0.7594193665817255,0.7433546551091089,0.9138755980861244,0.10915342893585571,0.7612835164026056,1.0,0.009523809523809525,0.25899382304828894,0.24661389727305488,0.9605045005857257,0.6709377733657691,0.0,1.0,,,0.0,11105.0,1,0,3
Exp1,2.0,40,50,0.46138806636525387,0.8942956296375191,0.5404695407505342,0.27194439388423736,0.4734142595064809,0.6739050423260949,0.2654327805191965,0.7885421557251638,1.0,0.0,0.10035107384076195,0.09168464693030996,0.9790071137217958,0.6477823136049816,1.0,1.0,33020.5,9285.0,0.0,6880.0,1,0,3
Exp1,2.0,40,100,0.4672059548151516,0.9022334055218282,0.5657592769609879,0.28934974517655626,0.4789492932282855,0.6658078763341921,0.2757591259559728,0.7921787534353191,1.0,0.0,0.09423490145203713,0.09284932326024849,0.9760559081840737,0.6481124520184,1.0,1.0,32990.5,9315.0,0.0,6885.0,1,0,3
Exp1,2.0,40,200,0.49471274184164016,0.945630081300813,0.6933704199802283,0.4264424827084092,0.5289491030314265,0.6407802723592197,0.30381662117902497,0.8066910968330931,1.0,0.0,0.09394041313005491,0.09310195942178434,0.9635170870255261,0.6560974596992112,1.0,1.0,32980.5,9325.0,0.0,6721.666666666667,1,0,3
Exp1,2.5,15,50,0.4697266955329853,0.9530745198281677,0.7433546551091089,0.7569318043926708,0.7408798823796426,0.9867500920132499,0.1156167734780937,0.6871221528271332,1.0,0.024603174603174603,0.2877421150715828,0.2560943423061087,0.9920755057779381,0.6494503476748283,0.0,1.0,,,0.0,11435.0,1,0,3
Exp1,2.5,15,100,0.4711775803425222,0.9530745198281677,0.7433546551091089,0.7594193665817255,0.7433546551091089,0.9230769230769231,0.10484700427877258,0.7221451379586783,1.0,0.024603174603174603,0.25430093384356645,0.2300404899992854,0.990077135445184,0.6454461421935773,0.0,1.0,,,0.0,11378.333333333334,1,0,3
