dataset,window_id,window_index,center_cycle,continuous_progression_score,continuous_evidence,continuous_calibration_size,state_model_input,uses_global_time_ranking,uses_absolute_wear
Exp1,0,0,10.5,0.0,0.0,0,False,False,False
Exp1,1,1,15.5,0.0,983394.0874683629,1,False,False,False
Exp1,2,2,20.5,0.0,1.9922854650281647,2,False,False,False
Exp1,3,3,25.5,0.0,0.9758020628173676,3,False,False,False
Exp1,4,4,30.5,0.0,0.7045633724922499,4,False,False,False
Exp1,5,5,35.5,0.0,0.4860678028468105,5,False,False,False
Exp1,6,6,40.5,0.0,0.3266533180322341,6,False,False,False
Exp1,7,7,45.5,0.0,0.4806707920325356,7,False,False,False
Exp1,8,8,50.5,0.0,0.4565948458132832,8,False,False,False
Exp1,9,9,55.5,0.0,0.36804320386743417,9,False,False,False
Exp1,10,10,60.5,0.0,0.604611787233658,10,False,False,False
Exp1,11,11,65.5,0.0,0.2241802314252424,11,False,False,False
Exp1,12,12,70.5,0.0,0.3745537346075619,12,False,False,False
Exp1,13,13,75.5,0.0,0.24469899247701593,13,False,False,False
Exp1,14,14,80.5,0.0,0.12844307878671601,14,False,False,False
Exp1,15,15,85.5,0.0,0.13531949181176028,15,False,False,False
Exp1,16,16,90.5,0.0,0.3223414997060067,16,False,False,False
Exp1,17,17,95.5,0.0,0.24008467457304794,17,False,False,False
Exp1,18,18,100.5,0.0,0.21772100311636047,18,False,False,False
Exp1,19,19,105.5,0.0,0.20252076289426624,19,False,False,False
Exp1,20,20,110.5,0.0,0.3750919493598527,20,False,False,False
Exp1,21,21,115.5,0.0,0.3085250716438658,21,False,False,False
Exp1,22,22,120.5,0.0,0.13714048303511808,22,False,False,False
Exp1,23,23,125.5,0.0,0.22246193952792814,23,False,False,False
Exp1,24,24,130.5,0.0,0.4179736010686157,24,False,False,False
Exp1,25,25,135.5,0.0,0.26964291305139637,25,False,False,False
Exp1,26,26,140.5,0.0,0.16885544889860943,26,False,False,False
Exp1,27,27,145.5,0.0,0.08274886703802445,27,False,False,False
Exp1,28,28,150.5,0.0,0.06734512137147351,28,False,False,False
Exp1,29,29,155.5,0.0,0.10825981645111198,29,False,False,False
Exp1,30,30,160.5,0.0,0.14918748327856665,30,False,False,False
Exp1,31,31,165.5,0.0,0.15674952071631032,31,False,False,False
Exp1,32,32,170.5,-0.41483871773207825,0.17328991797962923,32,False,False,False
Exp1,33,33,175.5,-0.552242531049404,0.13776122575736433,33,False,False,False
Exp1,34,34,180.5,0.39097843131361804,0.3166386653110864,34,False,False,False
Exp1,35,35,185.5,-0.2688611631200962,0.19615564644916672,35,False,False,False
Exp1,36,36,190.5,-0.08140706028513313,0.2284546701727519,36,False,False,False
Exp1,37,37,195.5,-0.808717598566555,0.10918966748795159,37,False,False,False
Exp1,38,38,200.5,1.0335543409135735,0.40579786277075025,38,False,False,False
Exp1,39,39,205.5,0.4219231660084252,0.3143595420723873,39,False,False,False
Exp1,40,40,210.5,0.3082962858328242,0.2944775463262105,40,False,False,False
Exp1,41,41,215.5,0.2286491966892797,0.2817070139095825,41,False,False,False
Exp1,42,42,220.5,1.5766464059230856,0.5239481267082582,42,False,False,False
Exp1,43,43,225.5,1.3472720451309295,0.4969937436270886,43,False,False,False
Exp1,44,44,230.5,0.4438906811891917,0.35642959800846163,44,False,False,False
Exp1,45,45,235.5,0.6711023643568103,0.40517447568829795,45,False,False,False
Exp1,46,46,240.5,-0.5239879376467624,0.19605620323950237,46,False,False,False
Exp1,47,47,245.5,0.20902044698214547,0.31996880428424157,47,False,False,False
Exp1,48,48,250.5,-0.3416604914176112,0.22862689340981512,48,False,False,False
Exp1,49,49,255.5,0.09833341292549051,0.2986099049134456,49,False,False,False
Exp1,50,50,260.5,-0.07348062718643524,0.2754612525642319,50,False,False,False
Exp1,51,51,265.5,-0.6484389297527471,0.1774774678943427,51,False,False,False
Exp1,52,52,270.5,-0.09299932407500823,0.2643547741874465,52,False,False,False
Exp1,53,53,275.5,-0.7226960955612676,0.16871002645682343,53,False,False,False
Exp1,54,54,280.5,-0.9987950424929634,0.12110815889677295,54,False,False,False
Exp1,55,55,285.5,-0.5971555020771897,0.17944978612478374,55,False,False,False
Exp1,56,56,290.5,-0.31802446466349366,0.21925816436238868,56,False,False,False
Exp1,57,57,295.5,-0.3051280990895014,0.21883124136077559,57,False,False,False
Exp1,58,58,300.5,-0.567738566325524,0.1709488236864254,58,False,False,False
Exp1,59,59,305.5,0.5992221951303011,0.33317381573127924,59,False,False,False
Exp1,60,60,310.5,-0.8564620065528102,0.12947568974546503,60,False,False,False
Exp1,61,61,315.5,-0.02353498405650552,0.24126043569778177,61,False,False,False
Exp1,62,62,320.5,-0.9144272357126935,0.11174299817035807,62,False,False,False
Exp1,63,63,325.5,-0.9456213694730295,0.10643805561579504,63,False,False,False
Exp1,64,64,330.5,-0.0003463409050621276,0.2406236427864934,64,False,False,False
Exp1,65,65,335.5,3.484913652702291,0.7251897755714743,65,False,False,False
Exp1,66,66,340.5,-0.27061238495669326,0.20167194751090153,66,False,False,False
Exp1,67,67,345.5,-0.5766325569071821,0.15841000394041688,67,False,False,False
Exp1,68,68,350.5,0.5093439728640288,0.312286782743621,68,False,False,False
Exp1,69,69,355.5,2.151765700548741,0.5398198031750739,69,False,False,False
Exp1,70,70,360.5,0.37124946605615916,0.2948161462588245,70,False,False,False
Exp1,71,71,365.5,0.05890960886317323,0.2496594989307309,71,False,False,False
Exp1,72,72,370.5,0.41350962645818257,0.3008856279620174,72,False,False,False
Exp1,73,73,375.5,-0.6045428845897298,0.1615773599013447,73,False,False,False
Exp1,74,74,380.5,-1.2995342863390613,0.06838852556613231,74,False,False,False
Exp1,75,75,385.5,-0.8485453842763427,0.13054132238934438,75,False,False,False
Exp1,76,76,390.5,-0.9593933343340558,0.11857429870697425,76,False,False,False
Exp1,77,77,395.5,-1.1660120955358686,0.09230374430703446,77,False,False,False
Exp1,78,78,400.5,-0.9526219743150456,0.11865168880806964,78,False,False,False
Exp1,79,79,405.5,-1.444405340018814,0.054700057906595156,79,False,False,False
Exp1,80,80,410.5,-0.9013583868821494,0.11389466803227538,80,False,False,False
Exp1,81,81,415.5,-1.2906704829943059,0.053563250495930484,81,False,False,False
Exp1,82,82,420.5,-1.0881129287469953,0.07935269669746667,82,False,False,False
Exp1,83,83,425.5,-0.8461287728940271,0.11113408336015512,83,False,False,False
Exp1,84,84,430.5,-0.6851138325811195,0.1301119903877141,84,False,False,False
Exp1,85,85,435.5,-0.8612958909097903,0.10405910547593095,85,False,False,False
Exp1,86,86,440.5,-0.633808173421713,0.13404647398606234,86,False,False,False
Exp1,87,87,445.5,-0.7646795543538472,0.11540609119867143,87,False,False,False
Exp1,88,88,450.5,-1.075734416974191,0.06924610003317967,88,False,False,False
Exp1,89,89,455.5,-0.6484412635066773,0.12782969531805163,89,False,False,False
Exp1,90,90,460.5,-1.1021585369623639,0.06421838625624778,90,False,False,False
Exp1,91,91,465.5,-0.6251680351893533,0.13028853084655048,91,False,False,False
Exp1,92,92,470.5,-0.8136040313782629,0.10362569305784283,92,False,False,False
