direction,dataset,entry_cycle,observed_index,origin_index,center_cycle,horizon,model,squared_error,prediction_available,adapter_gate_active
Exp1_to_Exp2,Exp2,0.0,33,32,175.5,1,Source_Frozen,7.187400493498503e-05,True,False
Exp1_to_Exp2,Exp2,0.0,33,32,175.5,1,Target_From_Scratch,1.927087212074162e-07,True,False
Exp1_to_Exp2,Exp2,0.0,33,32,175.5,1,Source_Plus_Adapter_Gated,7.187400493498503e-05,True,False
Exp1_to_Exp2,Exp2,0.0,34,33,180.5,1,Source_Frozen,7.229877673135652e-05,True,False
Exp1_to_Exp2,Exp2,0.0,34,33,180.5,1,Target_From_Scratch,3.9361012627779734e-07,True,False
Exp1_to_Exp2,Exp2,0.0,34,33,180.5,1,Source_Plus_Adapter_Gated,6.391594036681876e-05,True,False
Exp1_to_Exp2,Exp2,0.0,35,34,185.5,1,Source_Frozen,7.117622590934577e-05,True,False
Exp1_to_Exp2,Exp2,0.0,35,34,185.5,1,Target_From_Scratch,1.7661105228217515e-07,True,False
Exp1_to_Exp2,Exp2,0.0,35,34,185.5,1,Source_Plus_Adapter_Gated,5.554708255697013e-05,True,False
Exp1_to_Exp2,Exp2,0.0,36,35,190.5,1,Source_Frozen,7.775503361441433e-05,True,False
Exp1_to_Exp2,Exp2,0.0,36,35,190.5,1,Target_From_Scratch,2.283276214479009e-08,True,False
Exp1_to_Exp2,Exp2,0.0,36,35,190.5,1,Source_Plus_Adapter_Gated,5.4602514861256476e-05,True,False
Exp1_to_Exp2,Exp2,0.0,36,32,190.5,4,Source_Frozen,0.0009687598180323255,True,False
Exp1_to_Exp2,Exp2,0.0,36,32,190.5,4,Target_From_Scratch,1.7489460928280054e-06,True,False
Exp1_to_Exp2,Exp2,0.0,36,32,190.5,4,Source_Plus_Adapter_Gated,0.0009687598180323255,True,False
Exp1_to_Exp2,Exp2,0.0,37,36,195.5,1,Source_Frozen,7.720762052816213e-05,True,False
Exp1_to_Exp2,Exp2,0.0,37,36,195.5,1,Target_From_Scratch,4.075763609358301e-08,True,False
Exp1_to_Exp2,Exp2,0.0,37,36,195.5,1,Source_Plus_Adapter_Gated,4.781068027965259e-05,True,False
Exp1_to_Exp2,Exp2,0.0,37,33,195.5,4,Source_Frozen,0.0009933995871038459,True,False
Exp1_to_Exp2,Exp2,0.0,37,33,195.5,4,Target_From_Scratch,7.945595966193768e-07,True,False
Exp1_to_Exp2,Exp2,0.0,37,33,195.5,4,Source_Plus_Adapter_Gated,0.0009933995871038459,True,False
Exp1_to_Exp2,Exp2,0.0,38,37,200.5,1,Source_Frozen,7.488357119482672e-05,True,False
Exp1_to_Exp2,Exp2,0.0,38,37,200.5,1,Target_From_Scratch,1.730951348115762e-07,True,False
Exp1_to_Exp2,Exp2,0.0,38,37,200.5,1,Source_Plus_Adapter_Gated,4.0570433735358745e-05,True,False
Exp1_to_Exp2,Exp2,0.0,38,34,200.5,4,Source_Frozen,0.0010185298109609353,True,False
Exp1_to_Exp2,Exp2,0.0,38,34,200.5,4,Target_From_Scratch,3.6808625235022284e-07,True,False
Exp1_to_Exp2,Exp2,0.0,38,34,200.5,4,Source_Plus_Adapter_Gated,0.0010185298109609353,True,False
Exp1_to_Exp2,Exp2,0.0,39,38,205.5,1,Source_Frozen,7.467637619982184e-05,True,False
Exp1_to_Exp2,Exp2,0.0,39,38,205.5,1,Target_From_Scratch,8.136201923721305e-08,True,False
Exp1_to_Exp2,Exp2,0.0,39,38,205.5,1,Source_Plus_Adapter_Gated,3.5714954590887514e-05,True,False
Exp1_to_Exp2,Exp2,0.0,39,35,205.5,4,Source_Frozen,0.0010394990589910013,True,False
Exp1_to_Exp2,Exp2,0.0,39,35,205.5,4,Target_From_Scratch,6.362865693637081e-08,True,False
Exp1_to_Exp2,Exp2,0.0,39,35,205.5,4,Source_Plus_Adapter_Gated,0.0010394990589910013,True,False
Exp1_to_Exp2,Exp2,0.0,40,39,210.5,1,Source_Frozen,6.493183030374838e-05,True,False
Exp1_to_Exp2,Exp2,0.0,40,39,210.5,1,Target_From_Scratch,3.885372302294599e-07,True,False
Exp1_to_Exp2,Exp2,0.0,40,39,210.5,1,Source_Plus_Adapter_Gated,2.535391501340433e-05,True,False
Exp1_to_Exp2,Exp2,0.0,40,36,210.5,4,Source_Frozen,0.000993013619190217,True,False
Exp1_to_Exp2,Exp2,0.0,40,36,210.5,4,Target_From_Scratch,4.4347998983756747e-07,True,False
Exp1_to_Exp2,Exp2,0.0,40,36,210.5,4,Source_Plus_Adapter_Gated,0.0008792326578966054,True,False
Exp1_to_Exp2,Exp2,0.0,41,40,215.5,1,Source_Frozen,6.526506920234618e-05,True,False
Exp1_to_Exp2,Exp2,0.0,41,40,215.5,1,Target_From_Scratch,4.661064248662013e-07,True,False
Exp1_to_Exp2,Exp2,0.0,41,40,215.5,1,Source_Plus_Adapter_Gated,2.264326062681528e-05,True,False
Exp1_to_Exp2,Exp2,0.0,41,37,215.5,4,Source_Frozen,0.0009454869707825599,True,False
Exp1_to_Exp2,Exp2,0.0,41,37,215.5,4,Target_From_Scratch,1.7016999263448024e-06,True,False
Exp1_to_Exp2,Exp2,0.0,41,37,215.5,4,Source_Plus_Adapter_Gated,0.0007351455450788645,True,False
Exp1_to_Exp2,Exp2,0.0,42,41,220.5,1,Source_Frozen,6.529727979572184e-05,True,False
Exp1_to_Exp2,Exp2,0.0,42,41,220.5,1,Target_From_Scratch,7.122712268831116e-07,True,False
Exp1_to_Exp2,Exp2,0.0,42,41,220.5,1,Source_Plus_Adapter_Gated,2.01869453906797e-05,True,False
Exp1_to_Exp2,Exp2,0.0,42,38,220.5,4,Source_Frozen,0.0008939762226616592,True,False
Exp1_to_Exp2,Exp2,0.0,42,38,220.5,4,Target_From_Scratch,5.8601366430851455e-06,True,False
Exp1_to_Exp2,Exp2,0.0,42,38,220.5,4,Source_Plus_Adapter_Gated,0.0006043358956220574,True,False
Exp1_to_Exp2,Exp2,0.0,43,42,225.5,1,Source_Frozen,6.627676088650495e-05,True,False
Exp1_to_Exp2,Exp2,0.0,43,42,225.5,1,Target_From_Scratch,2.683507156970776e-07,True,False
Exp1_to_Exp2,Exp2,0.0,43,42,225.5,1,Source_Plus_Adapter_Gated,1.82673536922485e-05,True,False
Exp1_to_Exp2,Exp2,0.0,43,39,225.5,4,Source_Frozen,0.0008503648222397708,True,False
Exp1_to_Exp2,Exp2,0.0,43,39,225.5,4,Target_From_Scratch,8.314994028825152e-06,True,False
Exp1_to_Exp2,Exp2,0.0,43,39,225.5,4,Source_Plus_Adapter_Gated,0.0004939819738268092,True,False
Exp1_to_Exp2,Exp2,0.0,44,43,230.5,1,Source_Frozen,7.133704673708268e-05,True,False
Exp1_to_Exp2,Exp2,0.0,44,43,230.5,1,Target_From_Scratch,3.007163267937779e-07,True,False
Exp1_to_Exp2,Exp2,0.0,44,43,230.5,1,Source_Plus_Adapter_Gated,1.8874616350606392e-05,True,False
Exp1_to_Exp2,Exp2,0.0,44,40,230.5,4,Source_Frozen,0.0008675152833259686,True,False
Exp1_to_Exp2,Exp2,0.0,44,40,230.5,4,Target_From_Scratch,8.113949082518139e-06,True,False
Exp1_to_Exp2,Exp2,0.0,44,40,230.5,4,Source_Plus_Adapter_Gated,0.0004434000128625028,True,False
Exp1_to_Exp2,Exp2,0.0,45,44,235.5,1,Source_Frozen,6.71213195784721e-05,True,False
Exp1_to_Exp2,Exp2,0.0,45,44,235.5,1,Target_From_Scratch,1.3720285901503283e-07,True,False
Exp1_to_Exp2,Exp2,0.0,45,44,235.5,1,Source_Plus_Adapter_Gated,1.4624860737120243e-05,True,False
Exp1_to_Exp2,Exp2,0.0,45,41,235.5,4,Source_Frozen,0.0008666051915693895,True,False
Exp1_to_Exp2,Exp2,0.0,45,41,235.5,4,Target_From_Scratch,6.830578216277641e-06,True,False
Exp1_to_Exp2,Exp2,0.0,45,41,235.5,4,Source_Plus_Adapter_Gated,0.00038877707530867567,True,False
Exp1_to_Exp2,Exp2,0.0,46,45,240.5,1,Source_Frozen,6.957887998450663e-05,True,False
Exp1_to_Exp2,Exp2,0.0,46,45,240.5,1,Target_From_Scratch,2.963097339767793e-07,True,False
Exp1_to_Exp2,Exp2,0.0,46,45,240.5,1,Source_Plus_Adapter_Gated,1.4197386626924076e-05,True,False
Exp1_to_Exp2,Exp2,0.0,46,42,240.5,4,Source_Frozen,0.0008938110700125816,True,False
Exp1_to_Exp2,Exp2,0.0,46,42,240.5,4,Target_From_Scratch,3.512279007658915e-06,True,False
Exp1_to_Exp2,Exp2,0.0,46,42,240.5,4,Source_Plus_Adapter_Gated,0.0003600029572061365,True,False
Exp1_to_Exp2,Exp2,0.0,47,46,245.5,1,Source_Frozen,6.656568016579753e-05,True,False
Exp1_to_Exp2,Exp2,0.0,47,46,245.5,1,Target_From_Scratch,8.308175335169582e-08,True,False
Exp1_to_Exp2,Exp2,0.0,47,46,245.5,1,Source_Plus_Adapter_Gated,1.1269236812574253e-05,True,False
Exp1_to_Exp2,Exp2,0.0,47,43,245.5,4,Source_Frozen,0.0009055764448840822,True,False
Exp1_to_Exp2,Exp2,0.0,47,43,245.5,4,Target_From_Scratch,2.5929857940117004e-06,True,False
Exp1_to_Exp2,Exp2,0.0,47,43,245.5,4,Source_Plus_Adapter_Gated,0.0003283900300339235,True,False
Exp1_to_Exp2,Exp2,0.0,48,47,250.5,1,Source_Frozen,6.7278895457559e-05,True,False
Exp1_to_Exp2,Exp2,0.0,48,47,250.5,1,Target_From_Scratch,2.1683187437538794e-07,True,False
Exp1_to_Exp2,Exp2,0.0,48,47,250.5,1,Source_Plus_Adapter_Gated,1.0193588085506274e-05,True,False
Exp1_to_Exp2,Exp2,0.0,48,44,250.5,4,Source_Frozen,0.0008990176547319465,True,False
Exp1_to_Exp2,Exp2,0.0,48,44,250.5,4,Target_From_Scratch,1.6248525949771924e-06,True,False
Exp1_to_Exp2,Exp2,0.0,48,44,250.5,4,Source_Plus_Adapter_Gated,0.0002882196106878843,True,False
Exp1_to_Exp2,Exp2,0.0,48,32,250.5,16,Source_Frozen,0.01256302600195693,True,False
Exp1_to_Exp2,Exp2,0.0,48,32,250.5,16,Target_From_Scratch,3.933104985272959e-05,True,False
Exp1_to_Exp2,Exp2,0.0,48,32,250.5,16,Source_Plus_Adapter_Gated,0.01256302600195693,True,False
Exp1_to_Exp2,Exp2,0.0,49,48,255.5,1,Source_Frozen,7.183418761932627e-05,True,False
Exp1_to_Exp2,Exp2,0.0,49,48,255.5,1,Target_From_Scratch,3.110624305570664e-07,True,False
Exp1_to_Exp2,Exp2,0.0,49,48,255.5,1,Source_Plus_Adapter_Gated,1.0738883147178961e-05,True,False
Exp1_to_Exp2,Exp2,0.0,49,45,255.5,4,Source_Frozen,0.0009399036814370634,True,False
Exp1_to_Exp2,Exp2,0.0,49,45,255.5,4,Target_From_Scratch,1.7060483078060675e-06,True,False
Exp1_to_Exp2,Exp2,0.0,49,45,255.5,4,Source_Plus_Adapter_Gated,0.00027902670940606984,True,False
Exp1_to_Exp2,Exp2,0.0,49,33,255.5,16,Source_Frozen,0.012639872648132114,True,False
Exp1_to_Exp2,Exp2,0.0,49,33,255.5,16,Target_From_Scratch,3.287529924023347e-05,True,False
Exp1_to_Exp2,Exp2,0.0,49,33,255.5,16,Source_Plus_Adapter_Gated,0.012639872648132114,True,False
Exp1_to_Exp2,Exp2,0.0,50,49,260.5,1,Source_Frozen,7.137423246989143e-05,True,False
Exp1_to_Exp2,Exp2,0.0,50,49,260.5,1,Target_From_Scratch,3.4245018250020654e-07,True,False
Exp1_to_Exp2,Exp2,0.0,50,49,260.5,1,Source_Plus_Adapter_Gated,9.465629003613896e-06,True,False
Exp1_to_Exp2,Exp2,0.0,50,46,260.5,4,Source_Frozen,0.0009469001237888205,True,False
Exp1_to_Exp2,Exp2,0.0,50,46,260.5,4,Target_From_Scratch,1.101887791426098e-06,True,False
Exp1_to_Exp2,Exp2,0.0,50,46,260.5,4,Source_Plus_Adapter_Gated,0.0002523168043009796,True,False
Exp1_to_Exp2,Exp2,0.0,50,34,260.5,16,Source_Frozen,0.012691626783251777,True,False
Exp1_to_Exp2,Exp2,0.0,50,34,260.5,16,Target_From_Scratch,2.7552988091218817e-05,True,False
Exp1_to_Exp2,Exp2,0.0,50,34,260.5,16,Source_Plus_Adapter_Gated,0.012691626783251777,True,False
Exp1_to_Exp2,Exp2,0.0,51,50,265.5,1,Source_Frozen,7.259016003461016e-05,True,False
Exp1_to_Exp2,Exp2,0.0,51,50,265.5,1,Target_From_Scratch,3.6258953187259943e-07,True,False
Exp1_to_Exp2,Exp2,0.0,51,50,265.5,1,Source_Plus_Adapter_Gated,8.665389863827432e-06,True,False
Exp1_to_Exp2,Exp2,0.0,51,47,265.5,4,Source_Frozen,0.0009719760245197517,True,False
Exp1_to_Exp2,Exp2,0.0,51,47,265.5,4,Target_From_Scratch,2.884943733050882e-06,True,False
Exp1_to_Exp2,Exp2,0.0,51,47,265.5,4,Source_Plus_Adapter_Gated,0.0002357122682287849,True,False
Exp1_to_Exp2,Exp2,0.0,51,35,265.5,16,Source_Frozen,0.012793231757341051,True,False
Exp1_to_Exp2,Exp2,0.0,51,35,265.5,16,Target_From_Scratch,2.245363375595058e-05,True,False
Exp1_to_Exp2,Exp2,0.0,51,35,265.5,16,Source_Plus_Adapter_Gated,0.012793231757341051,True,False
Exp1_to_Exp2,Exp2,0.0,52,51,270.5,1,Source_Frozen,7.330463495875935e-05,True,False
Exp1_to_Exp2,Exp2,0.0,52,51,270.5,1,Target_From_Scratch,1.2836003861087976e-07,True,False
Exp1_to_Exp2,Exp2,0.0,52,51,270.5,1,Source_Plus_Adapter_Gated,7.937991992610585e-06,True,False
Exp1_to_Exp2,Exp2,0.0,52,48,270.5,4,Source_Frozen,0.000979276044655725,True,False
Exp1_to_Exp2,Exp2,0.0,52,48,270.5,4,Target_From_Scratch,3.5392428902874257e-06,True,False
Exp1_to_Exp2,Exp2,0.0,52,48,270.5,4,Source_Plus_Adapter_Gated,0.00021439818623370159,True,False
Exp1_to_Exp2,Exp2,0.0,52,36,270.5,16,Source_Frozen,0.012731641064988745,True,False
Exp1_to_Exp2,Exp2,0.0,52,36,270.5,16,Target_From_Scratch,2.2636369843395572e-05,True,False
Exp1_to_Exp2,Exp2,0.0,52,36,270.5,16,Source_Plus_Adapter_Gated,0.012731641064988745,True,False
Exp1_to_Exp2,Exp2,0.0,53,52,275.5,1,Source_Frozen,7.30991747825101e-05,True,False
Exp1_to_Exp2,Exp2,0.0,53,52,275.5,1,Target_From_Scratch,6.801567401923086e-08,True,False
Exp1_to_Exp2,Exp2,0.0,53,52,275.5,1,Source_Plus_Adapter_Gated,6.916442682952897e-06,True,False
Exp1_to_Exp2,Exp2,0.0,53,49,275.5,4,Source_Frozen,0.0009563714362328844,True,False
Exp1_to_Exp2,Exp2,0.0,53,49,275.5,4,Target_From_Scratch,3.1329231943128035e-06,True,False
Exp1_to_Exp2,Exp2,0.0,53,49,275.5,4,Source_Plus_Adapter_Gated,0.0001806623934130111,True,False
Exp1_to_Exp2,Exp2,0.0,53,37,275.5,16,Source_Frozen,0.012697701168991762,True,False
Exp1_to_Exp2,Exp2,0.0,53,37,275.5,16,Target_From_Scratch,2.3835572785250282e-05,True,False
Exp1_to_Exp2,Exp2,0.0,53,37,275.5,16,Source_Plus_Adapter_Gated,0.012697701168991762,True,False
Exp1_to_Exp2,Exp2,0.0,54,53,280.5,1,Source_Frozen,7.79191638733605e-05,True,False
Exp1_to_Exp2,Exp2,0.0,54,53,280.5,1,Target_From_Scratch,3.4220811543106537e-07,True,False
Exp1_to_Exp2,Exp2,0.0,54,53,280.5,1,Source_Plus_Adapter_Gated,7.755641625823687e-06,True,False
Exp1_to_Exp2,Exp2,0.0,54,50,280.5,4,Source_Frozen,0.0009738635927452233,True,False
Exp1_to_Exp2,Exp2,0.0,54,50,280.5,4,Target_From_Scratch,3.211575865189466e-06,True,False
Exp1_to_Exp2,Exp2,0.0,54,50,280.5,4,Source_Plus_Adapter_Gated,0.00016642729726706613,True,False
Exp1_to_Exp2,Exp2,0.0,54,38,280.5,16,Source_Frozen,0.012750111843261388,True,False
Exp1_to_Exp2,Exp2,0.0,54,38,280.5,16,Target_From_Scratch,2.2582849876618067e-05,True,False
Exp1_to_Exp2,Exp2,0.0,54,38,280.5,16,Source_Plus_Adapter_Gated,0.012750111843261388,True,False
Exp1_to_Exp2,Exp2,0.0,55,54,285.5,1,Source_Frozen,7.871916431022693e-05,True,False
Exp1_to_Exp2,Exp2,0.0,55,54,285.5,1,Target_From_Scratch,3.0062515422761253e-07,True,False
Exp1_to_Exp2,Exp2,0.0,55,54,285.5,1,Source_Plus_Adapter_Gated,7.03670450895568e-06,True,False
Exp1_to_Exp2,Exp2,0.0,55,51,285.5,4,Source_Frozen,0.0009989036256468078,True,False
Exp1_to_Exp2,Exp2,0.0,55,51,285.5,4,Target_From_Scratch,3.2391205069023994e-06,True,False
Exp1_to_Exp2,Exp2,0.0,55,51,285.5,4,Source_Plus_Adapter_Gated,0.00015821891621889696,True,False
