direction,window_index,center_cycle,innovation_energy,bocpd_change_posterior,bocpd_run_length_map,bocpd_run_length_entropy,boundary_confirmed
Exp1_to_Exp2,0,10.5,0.0,0.00625,1,0.03795026427747182,False
Exp1_to_Exp2,1,15.5,0.0,0.0062499999999999995,2,0.07566333940320948,False
Exp1_to_Exp2,2,20.5,0.0,0.006250000000000001,3,0.1067989139853823,False
Exp1_to_Exp2,3,25.5,0.0,0.00625,4,0.130201960233091,False
Exp1_to_Exp2,4,30.5,0.0,0.00625,5,0.14650606986681516,False
Exp1_to_Exp2,5,35.5,0.0,0.00625,6,0.15691484508970638,False
Exp1_to_Exp2,6,40.5,0.0,0.00625,7,0.1627108634046623,False
Exp1_to_Exp2,7,45.5,0.0,0.00625,8,0.16505840651651588,False
Exp1_to_Exp2,8,50.5,0.0,0.00625,9,0.16493539136963606,False
Exp1_to_Exp2,9,55.5,0.0,0.00625,10,0.16312395303213756,False
Exp1_to_Exp2,10,60.5,0.0,0.00625,11,0.1602269310775831,False
Exp1_to_Exp2,11,65.5,0.0,0.00625,12,0.15669427842769237,False
Exp1_to_Exp2,12,70.5,0.0,0.00625,13,0.15285145793947444,False
Exp1_to_Exp2,13,75.5,0.0,0.006250000000000001,14,0.14892599983730964,False
Exp1_to_Exp2,14,80.5,0.0,0.006250000000000001,15,0.14507057503651022,False
Exp1_to_Exp2,15,85.5,0.0,0.006250000000000002,16,0.14138211006480306,False
Exp1_to_Exp2,16,90.5,0.0,0.00625,17,0.137917079228884,False
Exp1_to_Exp2,17,95.5,0.0,0.00625,18,0.13470339935448822,False
Exp1_to_Exp2,18,100.5,0.0,0.006250000000000001,19,0.13174945905752186,False
Exp1_to_Exp2,19,105.5,0.0,0.00625,20,0.12905081981819222,False
Exp1_to_Exp2,20,110.5,0.0,0.00625,21,0.12659507959518101,False
Exp1_to_Exp2,21,115.5,0.0,0.0062499999999999995,22,0.12436532096114278,False
Exp1_to_Exp2,22,120.5,0.0,0.006249999999999999,23,0.12234249188196783,False
Exp1_to_Exp2,23,125.5,0.0,0.0062499999999999995,24,0.12050699752776335,False
Exp1_to_Exp2,24,130.5,0.0,0.00625,25,0.11883972024418729,False
Exp1_to_Exp2,25,135.5,0.0,0.006250000000000001,26,0.11732263348098106,False
Exp1_to_Exp2,26,140.5,0.0,0.00625,27,0.11593913390432427,False
Exp1_to_Exp2,27,145.5,0.0,0.006250000000000001,28,0.11467418313334628,False
Exp1_to_Exp2,28,150.5,0.0,0.00625,29,0.11351432523725265,False
Exp1_to_Exp2,29,155.5,0.0,0.0062499999999999995,30,0.11244762696176447,False
Exp1_to_Exp2,30,160.5,0.0,0.00625,31,0.11146357337653667,False
Exp1_to_Exp2,31,165.5,0.0,0.00625,32,0.11055294116917957,False
Exp1_to_Exp2,32,170.5,0.0,0.006250000000000001,33,0.10970766425947988,False
Exp1_to_Exp2,33,175.5,7.187400493498503e-05,0.00625,34,0.10892070167122539,False
Exp1_to_Exp2,34,180.5,6.391594036681876e-05,0.0062499999999999995,35,0.1081859096149254,False
Exp1_to_Exp2,35,185.5,5.554708255697013e-05,0.006250000000000001,36,0.10749792937595491,False
Exp1_to_Exp2,36,190.5,5.4602514861256476e-05,0.00625,37,0.10685208203053881,False
Exp1_to_Exp2,37,195.5,4.781068027965259e-05,0.00625,38,0.1062442762883384,False
Exp1_to_Exp2,38,200.5,4.0570433735358745e-05,0.00625,39,0.10567092837484893,False
Exp1_to_Exp2,39,205.5,3.5714954590887514e-05,0.0062499999999999995,40,0.10512889186187867,False
Exp1_to_Exp2,40,210.5,2.535391501340433e-05,0.00625,41,0.10461539713006947,False
Exp1_to_Exp2,41,215.5,2.264326062681528e-05,0.00625,42,0.10412799957195595,False
Exp1_to_Exp2,42,220.5,2.01869453906797e-05,0.00625,43,0.10366453487590412,False
