direction,dataset,entry_cycle,window_index,center_cycle,progression_uncertainty,prediction_ensemble_uncertainty,adapter_support_uncertainty,primitive_match_uncertainty,private_state_support_uncertainty,change_point_uncertainty,entry_prior_uncertainty,ood_uncertainty,initial_match_quality
Exp1_to_Exp2,Exp2,0.0,0,10.5,1.7679076996719838,0.0,1.0,1.0,1.0,0.05475065807353418,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,1,15.5,1.7636771788173315,0.0,0.9921875,1.0,1.0,0.06017604111946443,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,2,20.5,1.7593261634032986,0.0,0.984375,1.0,1.0,0.06110980780832145,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,3,25.5,1.7549148973168376,0.0,0.9765625,1.0,1.0,0.059598493423207236,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,4,30.5,1.7504904609093892,0.0,0.96875,1.0,1.0,0.056923556062194035,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,5,35.5,1.746077665083852,0.0,0.9609375,1.0,1.0,0.05372460887178888,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,6,40.5,1.741693351084848,0.0,0.953125,1.0,1.0,0.05048230965563666,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,7,45.5,1.737340797392839,0.0,0.9453125,1.0,1.0,0.04730035548847282,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,8,50.5,1.7330270791310045,0.0,0.9375,1.0,1.0,0.04445904858789238,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,9,55.5,1.728738529311258,0.0,0.9296875,1.0,1.0,0.04144942784890393,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,10,60.5,1.7244905075175185,0.0,0.921875,1.0,1.0,0.03891008729145357,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,11,65.5,1.7202767382155173,0.0,0.9140625,1.0,1.0,0.036630617510071094,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,12,70.5,1.7160911062528381,0.0,0.90625,1.0,1.0,0.03434563232915388,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,13,75.5,1.7119410696781339,0.0,0.8984375,1.0,1.0,0.032438937166054095,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,14,80.5,1.7078254363648986,0.0,0.890625,1.0,1.0,0.03090033122728526,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,15,85.5,1.7037388365637722,0.0,0.8828125,1.0,1.0,0.029463758406320435,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,16,90.5,1.6996795045421411,0.0,0.875,1.0,1.0,0.028025312854955364,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,17,95.5,1.6956536420891182,0.0,0.8671875,1.0,1.0,0.02696504726199316,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,18,100.5,1.6916556235902624,0.0,0.859375,1.0,1.0,0.025949146412926626,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,19,105.5,1.6876849686179014,0.0,0.8515625,1.0,1.0,0.024937158870987436,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,20,110.5,1.683745071197996,0.0,0.84375,1.0,1.0,0.024153721939785034,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,21,115.5,1.6798342318742197,0.0,0.8359375,1.0,1.0,0.023484945607765616,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,22,120.5,1.675949023453426,0.0,0.828125,1.0,1.0,0.022674073067979833,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,23,125.5,1.6720938401688596,0.0,0.8203125,1.0,1.0,0.02202754353971585,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,24,130.5,1.6682673674793242,0.0,0.8125,1.0,1.0,0.02144200075539552,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,25,135.5,1.6644710698426943,0.0,0.8046875,1.0,1.0,0.021023075108874762,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,26,140.5,1.6607014138483267,0.0,0.796875,1.0,1.0,0.020479754218034506,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,27,145.5,1.6569629928392964,0.0,0.7890625,1.0,1.0,0.0201675663556165,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,28,150.5,1.6532511872439408,0.0,0.78125,1.0,1.0,0.019695827565746723,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,29,155.5,1.64956897379133,0.0,0.7734375,1.0,1.0,0.019293337936472286,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,30,160.5,1.6459186166983346,0.0,0.765625,1.0,1.0,0.019142940452267568,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,31,165.5,1.6422937789629353,0.0,0.7578125,1.0,1.0,0.01868344893505744,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,32,170.5,1.6387006331977831,0.0009043987575853281,0.75,1.0,1.0,0.018410521603220344,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,33,175.5,1.6351359160192356,0.0007148577786709469,0.7421875,1.0,1.0,0.01807395026470806,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,34,180.5,1.6316017797962283,0.00048765690603926585,0.734375,1.0,1.0,0.01781823223447471,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,35,185.5,1.6280976241425402,0.0008532658001935391,0.7265625,1.0,1.0,0.017552187037748603,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,36,190.5,1.6246486421927955,0.008748447584234867,0.71875,1.0,1.0,0.01746747674278204,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,37,195.5,1.6212055073941016,0.008811381521911563,0.7109375,1.0,1.0,0.017248995750241664,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,38,200.5,1.6177935721385317,0.009209896349676184,0.703125,1.0,1.0,0.016924958994901013,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,39,205.5,1.6144136435845602,0.009618256980154694,0.6953125,1.0,1.0,0.01671613198048809,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,40,210.5,1.6110596606153251,0.009205179445483259,0.6875,1.0,1.0,0.01649984040355052,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,41,215.5,1.6077357900840665,0.008547479362906937,0.6796875,1.0,1.0,0.016316055207316504,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,42,220.5,1.60444457881992,0.007702051930517592,0.671875,1.0,1.0,0.016342254302576544,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,43,225.5,1.6011820005634074,0.006910485400947633,0.6640625,1.0,1.0,0.016032473717726193,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,44,230.5,1.5979548092117086,0.006602599785515858,0.65625,1.0,1.0,0.015871844848680546,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,45,235.5,1.5947599579353757,0.006481974184351908,0.6484375,1.0,1.0,0.015688085876385597,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,46,240.5,1.5915984515100583,0.0065799677723686655,0.640625,1.0,1.0,0.0155545571563294,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,47,245.5,1.5884701213955694,0.00695518433720304,0.6328125,1.0,1.0,0.015404279309329192,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,48,250.5,1.5853728639407825,0.007001932196605109,0.625,1.0,1.0,0.015267307074687549,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,49,255.5,1.5823098530650235,0.007255002381416398,0.6171875,1.0,1.0,0.015212688482031618,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,50,260.5,1.5792779297129342,0.007329506350971748,0.609375,1.0,1.0,0.01507205991305848,0.35,0.0,0.0
Exp1_to_Exp2,Exp2,0.0,51,265.5,1.6916944383733428,0.0327768538159159,0.6015625,1.0,1.0,0.014967493949262776,0.35,0.6133141800055322,0.0
Exp1_to_Exp2,Exp2,0.0,52,270.5,1.685764353073285,0.032830016591848234,0.59375,1.0,1.0,0.014826309151128567,0.35,0.6045368162156263,0.0
Exp1_to_Exp2,Exp2,0.0,53,275.5,1.679709063533183,0.03289511924977114,0.5859375,1.0,1.0,0.014748615874256297,0.35,0.5952311934606667,0.0
Exp1_to_Exp2,Exp2,0.0,54,280.5,1.6813089097590725,0.033318956249381235,0.578125,1.0,1.0,0.014639039973294028,0.35,0.607245156484062,0.0
Exp1_to_Exp2,Exp2,0.0,55,285.5,1.6799478859397872,0.03348269754290401,0.5703125,1.0,1.0,0.01458747018870737,0.35,0.6108474985592179,0.0
Exp1_to_Exp2,Exp2,0.0,56,290.5,1.680307128406522,0.03366849036699529,0.5625,1.0,1.0,0.01442008593351666,0.35,0.6190188120338913,0.0
Exp1_to_Exp2,Exp2,0.0,57,295.5,1.7158100817934636,0.026426887633135436,0.5546875,1.0,1.0,0.04405973821408316,0.35,0.7149729877459525,0.0
Exp1_to_Exp2,Exp2,0.0,58,300.5,1.7307857257611425,0.02104659988768425,0.546875,1.0,1.0,0.03594796497407302,0.35,0.7565128864209223,0.0
Exp1_to_Exp2,Exp2,0.0,59,305.5,1.7533217893608066,0.01801768386042779,0.5390625,1.0,1.0,0.029963612117937084,0.35,0.8122970288990862,0.0
Exp1_to_Exp2,Exp2,0.0,60,310.5,1.814508576574193,0.01934103400069663,0.53125,1.0,1.0,0.025021132205314576,0.35,0.9416552868795737,0.0
Exp1_to_Exp2,Exp2,0.0,61,315.5,1.7990836501145804,0.020884094815541633,0.5234375,1.0,1.0,0.07532765047826452,0.35,0.9132933610623213,0.0
Exp1_to_Exp2,Exp2,0.0,62,320.5,1.7319339025445601,0.020061984695141512,0.515625,1.0,1.0,0.181684889946133,0.35,0.7601407893894286,0.0
Exp1_to_Exp2,Exp2,0.0,63,325.5,1.675494000619981,0.020510833444982023,0.5078125,1.0,1.0,0.2339082825751296,0.35,0.609731770544593,0.0
Exp1_to_Exp2,Exp2,0.0,64,330.5,1.6143576638198345,0.022856945497052843,0.5,1.0,1.0,0.15543041934040303,0.35,0.4571319410411447,0.0
Exp1_to_Exp2,Exp2,0.0,65,335.5,1.6488462762088527,0.023727835020229283,0.4921875,1.0,1.0,0.09814688068988214,0.35,0.5863017031082625,0.0
Exp1_to_Exp2,Exp2,0.0,66,340.5,1.6287306906193755,0.0235095567749776,0.484375,1.0,1.0,0.07813792067837348,0.35,0.5375744488280406,0.0
Exp1_to_Exp2,Exp2,0.0,67,345.5,1.6035203840676207,0.023514961565116194,0.4765625,1.0,1.0,0.07049017190662887,0.35,0.4649128821201714,0.0
Exp1_to_Exp2,Exp2,0.0,68,350.5,1.5755906923412117,0.023874046090291416,0.46875,1.0,1.0,0.06615090275807435,0.35,0.36784990863099126,0.0
Exp1_to_Exp2,Exp2,0.0,69,355.5,1.5683741280178793,0.023960573230842976,0.4609375,1.0,1.0,0.06285534444059727,0.35,0.346856055353365,0.0
Exp1_to_Exp2,Exp2,0.0,70,360.5,1.5649728306893107,0.023714585662960655,0.453125,1.0,1.0,0.06011409902696165,0.35,0.342259563337133,0.0
Exp1_to_Exp2,Exp2,0.0,71,365.5,1.5603245131847547,0.023025529814720246,0.4453125,1.0,1.0,0.05780299525980407,0.35,0.33156900112154375,0.0
Exp1_to_Exp2,Exp2,0.0,72,370.5,1.5558152177608295,0.022472297104060165,0.4375,1.0,1.0,0.055871325939329676,0.35,0.3209799567213279,0.0
Exp1_to_Exp2,Exp2,0.0,73,375.5,1.5524820134174104,0.022209372849899444,0.4296875,1.0,1.0,0.053805235552559304,0.35,0.3157226547352507,0.0
Exp1_to_Exp2,Exp2,0.0,74,380.5,1.5495766511965836,0.022068938592154915,0.421875,1.0,1.0,0.05204880100945722,0.35,0.3122709825960652,0.0
Exp1_to_Exp2,Exp2,0.0,75,385.5,1.5463219791922471,0.021873532891814387,0.4140625,1.0,1.0,0.05032987225953021,0.35,0.30684256866339216,0.0
Exp1_to_Exp2,Exp2,0.0,76,390.5,1.5439071918907312,0.021733787289463263,0.40625,1.0,1.0,0.04898452683779651,0.35,0.30534982117639564,0.0
Exp1_to_Exp2,Exp2,0.0,77,395.5,1.521580826906559,0.018124717804286938,0.3984375,1.0,1.0,0.04763399755210469,0.35,0.17708265947042334,0.0
Exp1_to_Exp2,Exp2,0.0,78,400.5,1.5112336660485908,0.016558890692270355,0.390625,1.0,1.0,0.046586412011982214,0.35,0.07933985208301182,0.0
Exp1_to_Exp2,Exp2,0.0,79,405.5,1.5148193690188747,0.01769355551075115,0.3828125,1.0,1.0,0.04570631656591882,0.35,0.15241450494574296,0.0
Exp1_to_Exp2,Exp2,0.0,80,410.5,1.5243114907821913,0.020056582199031586,0.375,1.0,1.0,0.04448402516800595,0.35,0.24087221912452303,0.0
Exp1_to_Exp2,Exp2,0.0,81,415.5,1.5159807434100006,0.01933002800713401,0.3671875,1.0,1.0,0.043576602666194154,0.35,0.19646471426442802,0.0
Exp1_to_Exp2,Exp2,0.0,82,420.5,1.5078656942548943,0.018818267334544628,0.359375,1.0,1.0,0.043070238843662484,0.35,0.14071030035597865,0.0
