window_index,event,reasons,stage,accepted_total,direction_id,ablation
0,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
199,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
200,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
399,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
400,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
599,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
600,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
799,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
800,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
999,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
1000,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
1199,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
1200,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
1399,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
1400,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
1599,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
1600,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
1799,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
1800,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
1999,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
2000,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
2199,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
2200,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
2399,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
2400,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
2599,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
2600,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
2799,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
2800,CHECKPOINT,,,,Exp1_to_Exp2,B0_STATIC_SOURCE
0,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
199,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
200,CHECKPOINT,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
399,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
400,CHECKPOINT,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
599,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
600,CHECKPOINT,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
799,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
800,CHECKPOINT,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
999,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
1000,CHECKPOINT,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
1199,FREEZE_GUARD_OR_TES,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
1200,CHECKPOINT,,,,Exp1_to_Exp2,B1_TIME_ONLY_HMM
