window_index,event,reasons,stage,accepted_total,direction_id,ablation
827,ONLINE_UPDATE,,,20.0,Exp1_to_Exp2,B5_TEMPORAL_RANKING
2447,ONLINE_UPDATE,,,40.0,Exp1_to_Exp2,B5_TEMPORAL_RANKING
827,ONLINE_UPDATE,,,20.0,Exp1_to_Exp2,B6_FULL_ADAPTATION
2447,ONLINE_UPDATE,,,40.0,Exp1_to_Exp2,B6_FULL_ADAPTATION
327,ONLINE_UPDATE,,,20.0,Exp1_to_Exp2,B7_TENT_LITE
347,ONLINE_UPDATE,,,40.0,Exp1_to_Exp2,B7_TENT_LITE
367,ONLINE_UPDATE,,,60.0,Exp1_to_Exp2,B7_TENT_LITE
387,ONLINE_UPDATE,,,80.0,Exp1_to_Exp2,B7_TENT_LITE
516,ONLINE_UPDATE,,,100.0,Exp1_to_Exp2,B7_TENT_LITE
536,ONLINE_UPDATE,,,120.0,Exp1_to_Exp2,B7_TENT_LITE
556,ONLINE_UPDATE,,,140.0,Exp1_to_Exp2,B7_TENT_LITE
576,ONLINE_UPDATE,,,160.0,Exp1_to_Exp2,B7_TENT_LITE
596,ONLINE_UPDATE,,,180.0,Exp1_to_Exp2,B7_TENT_LITE
725,ONLINE_UPDATE,,,200.0,Exp1_to_Exp2,B7_TENT_LITE
745,ONLINE_UPDATE,,,220.0,Exp1_to_Exp2,B7_TENT_LITE
765,ONLINE_UPDATE,,,240.0,Exp1_to_Exp2,B7_TENT_LITE
785,ONLINE_UPDATE,,,260.0,Exp1_to_Exp2,B7_TENT_LITE
914,ONLINE_UPDATE,,,280.0,Exp1_to_Exp2,B7_TENT_LITE
934,ONLINE_UPDATE,,,300.0,Exp1_to_Exp2,B7_TENT_LITE
954,ONLINE_UPDATE,,,320.0,Exp1_to_Exp2,B7_TENT_LITE
974,ONLINE_UPDATE,,,340.0,Exp1_to_Exp2,B7_TENT_LITE
994,ONLINE_UPDATE,,,360.0,Exp1_to_Exp2,B7_TENT_LITE
1123,ONLINE_UPDATE,,,380.0,Exp1_to_Exp2,B7_TENT_LITE
1143,ONLINE_UPDATE,,,400.0,Exp1_to_Exp2,B7_TENT_LITE
1163,ONLINE_UPDATE,,,420.0,Exp1_to_Exp2,B7_TENT_LITE
1183,ONLINE_UPDATE,,,440.0,Exp1_to_Exp2,B7_TENT_LITE
1312,ONLINE_UPDATE,,,460.0,Exp1_to_Exp2,B7_TENT_LITE
1332,ONLINE_UPDATE,,,480.0,Exp1_to_Exp2,B7_TENT_LITE
1352,ONLINE_UPDATE,,,500.0,Exp1_to_Exp2,B7_TENT_LITE
1372,ONLINE_UPDATE,,,520.0,Exp1_to_Exp2,B7_TENT_LITE
1392,ONLINE_UPDATE,,,540.0,Exp1_to_Exp2,B7_TENT_LITE
1524,ONLINE_UPDATE,,,560.0,Exp1_to_Exp2,B7_TENT_LITE
1544,ONLINE_UPDATE,,,580.0,Exp1_to_Exp2,B7_TENT_LITE
1564,ONLINE_UPDATE,,,600.0,Exp1_to_Exp2,B7_TENT_LITE
1584,ONLINE_UPDATE,,,620.0,Exp1_to_Exp2,B7_TENT_LITE
1713,ONLINE_UPDATE,,,640.0,Exp1_to_Exp2,B7_TENT_LITE
1733,ONLINE_UPDATE,,,660.0,Exp1_to_Exp2,B7_TENT_LITE
1927,ONLINE_UPDATE,,,680.0,Exp1_to_Exp2,B7_TENT_LITE
1958,ONLINE_UPDATE,,,700.0,Exp1_to_Exp2,B7_TENT_LITE
1978,ONLINE_UPDATE,,,720.0,Exp1_to_Exp2,B7_TENT_LITE
2356,ONLINE_UPDATE,,,740.0,Exp1_to_Exp2,B7_TENT_LITE
2386,ONLINE_UPDATE,,,760.0,Exp1_to_Exp2,B7_TENT_LITE
2794,ONLINE_UPDATE,,,780.0,Exp1_to_Exp2,B7_TENT_LITE
327,ONLINE_UPDATE,,,20.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
347,ONLINE_UPDATE,,,40.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
367,ONLINE_UPDATE,,,60.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
387,ONLINE_UPDATE,,,80.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
516,ONLINE_UPDATE,,,100.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
536,ONLINE_UPDATE,,,120.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
556,ONLINE_UPDATE,,,140.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
576,ONLINE_UPDATE,,,160.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
596,ONLINE_UPDATE,,,180.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
725,ONLINE_UPDATE,,,200.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
745,ONLINE_UPDATE,,,220.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
765,ONLINE_UPDATE,,,240.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
785,ONLINE_UPDATE,,,260.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
914,ONLINE_UPDATE,,,280.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
934,ONLINE_UPDATE,,,300.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
954,ONLINE_UPDATE,,,320.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
974,ONLINE_UPDATE,,,340.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
994,ONLINE_UPDATE,,,360.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1123,ONLINE_UPDATE,,,380.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1143,ONLINE_UPDATE,,,400.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1163,ONLINE_UPDATE,,,420.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1183,ONLINE_UPDATE,,,440.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1312,ONLINE_UPDATE,,,460.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1332,ONLINE_UPDATE,,,480.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1352,ONLINE_UPDATE,,,500.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1372,ONLINE_UPDATE,,,520.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1392,ONLINE_UPDATE,,,540.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1622,ONLINE_UPDATE,,,560.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1742,ONLINE_UPDATE,,,580.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1762,ONLINE_UPDATE,,,600.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
1883,ONLINE_UPDATE,,,620.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2012,ONLINE_UPDATE,,,640.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2032,ONLINE_UPDATE,,,660.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2153,ONLINE_UPDATE,,,680.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2273,ONLINE_UPDATE,,,700.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2293,ONLINE_UPDATE,,,720.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2422,ONLINE_UPDATE,,,740.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2442,ONLINE_UPDATE,,,760.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2462,ONLINE_UPDATE,,,780.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2482,ONLINE_UPDATE,,,800.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2611,ONLINE_UPDATE,,,820.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2631,ONLINE_UPDATE,,,840.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2651,ONLINE_UPDATE,,,860.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2671,ONLINE_UPDATE,,,880.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2691,ONLINE_UPDATE,,,900.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2820,ONLINE_UPDATE,,,920.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2840,ONLINE_UPDATE,,,940.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2860,ONLINE_UPDATE,,,960.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
2880,ONLINE_UPDATE,,,980.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3009,ONLINE_UPDATE,,,1000.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3029,ONLINE_UPDATE,,,1020.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3049,ONLINE_UPDATE,,,1040.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3069,ONLINE_UPDATE,,,1060.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3089,ONLINE_UPDATE,,,1080.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3219,ONLINE_UPDATE,,,1100.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3239,ONLINE_UPDATE,,,1120.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3259,ONLINE_UPDATE,,,1140.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3279,ONLINE_UPDATE,,,1160.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3413,ONLINE_UPDATE,,,1180.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3437,ONLINE_UPDATE,,,1200.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3559,ONLINE_UPDATE,,,1220.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3579,ONLINE_UPDATE,,,1240.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3708,ONLINE_UPDATE,,,1260.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3728,ONLINE_UPDATE,,,1280.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
3748,ONLINE_UPDATE,,,1300.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
5069,ONLINE_UPDATE,,,1320.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
6889,ONLINE_UPDATE,,,1340.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
8220,ONLINE_UPDATE,,,1360.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
8441,ONLINE_UPDATE,,,1380.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
8461,ONLINE_UPDATE,,,1400.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
8481,ONLINE_UPDATE,,,1420.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
8610,ONLINE_UPDATE,,,1440.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
8630,ONLINE_UPDATE,,,1460.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
8650,ONLINE_UPDATE,,,1480.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
8670,ONLINE_UPDATE,,,1500.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
8690,ONLINE_UPDATE,,,1520.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
8819,ONLINE_UPDATE,,,1540.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
8839,ONLINE_UPDATE,,,1560.0,Exp2_to_Exp1,B5_TEMPORAL_RANKING
