dataset,stage,support,distance_p95,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16
Exp1,1,1057,0.02267477,-0.14497094,-0.35529602,-0.39022458,-0.17658603,0.09361255,0.027776448,0.13951181,-0.16619602,-0.025686052,0.26629266,0.045154233,0.3383399,0.3488686,-0.2136631,0.26721552,-0.42411998,0.00038266458,0.00035736815,0.00014242421,0.00058023765,0.00093393796,0.0013995887,4.169015e-05,0.00015696601,0.0004004155,4.0473547e-05,0.00013617724,0.00034312953,0.00020078578,0.00043232096,0.00018194766,0.00021335986
Exp1,2,1896,0.9944931,-0.2630584,-0.22853076,-0.0047521065,-0.20671588,0.28450927,-0.21708623,0.0021762468,-0.009677214,0.15971741,0.11190994,-0.11084083,0.039822247,0.106508136,-0.0040521706,-0.049293004,0.019230232,0.00986275,0.031809393,0.09158572,0.017694226,0.015173142,0.02287261,0.014003587,0.022916013,0.016648222,0.026685705,0.011305118,0.06262852,0.07719454,0.031570666,0.053318884,0.13631551
Exp1,3,940,0.561478,-0.37552652,-0.2800876,0.15770243,-0.28102174,0.3986972,-0.35925177,-0.039295554,-0.010382708,0.37068796,0.041444857,-0.13920404,0.05165214,0.091161035,0.11792149,0.04962649,0.22168303,0.0049160426,0.010658777,0.00941256,0.010696418,0.0034396185,0.0038728705,0.0029894814,0.0070554423,0.004749838,0.0062947744,0.00490879,0.013291389,0.019749884,0.005019205,0.024456335,0.020508273
Exp1,4,946,0.21196674,-0.10738239,0.19331805,0.39328465,0.09190381,0.14728004,-0.21793005,-0.12775847,0.19399339,0.11193867,-0.19286878,-0.14724027,-0.325002,-0.4099387,0.1696858,-0.26461524,0.4145171,0.0021878502,0.00864269,0.0008170717,0.0033018845,0.0042175516,0.0019901178,0.001974772,0.0018993131,0.003609368,0.0026811506,0.0011740848,0.003962294,0.004759956,0.0027515949,0.002258912,0.0028853281
Exp1,5,1539,0.3159172,-0.06999249,0.16545616,0.37589526,0.041760847,0.13404828,-0.26895028,-0.1656771,0.1894021,0.14271882,-0.1512345,-0.15402786,-0.3277612,-0.3438723,0.13671784,-0.32060197,0.42302823,0.009800882,0.009406198,0.0019601847,0.0087215435,0.007048618,0.0038928753,0.0023905113,0.0021465705,0.0038120947,0.0021732098,0.0010942055,0.0019195812,0.011323795,0.005847403,0.0026300864,0.003819225
Exp2,1,417,0.13215144,-0.07949552,-0.3537545,-0.2199255,-0.39850795,-0.11754746,-0.43406853,-0.19368516,0.34950623,0.06715125,-0.38966292,0.1285607,-0.24120545,-0.042090166,-0.17515957,0.051523183,0.032766245,0.0025150275,0.0014554252,0.0022718958,0.0005078579,0.0015614863,0.0011690866,0.0032279203,0.00068988604,0.00089421304,0.0017211819,0.0037982306,0.0022465943,0.0015797146,0.0018540707,0.0013800357,0.0053530475
Exp2,2,420,1.1876659,0.10229,-0.17643018,-0.20667975,-0.3247885,0.052343454,-0.24891748,-0.2604678,0.32499728,0.034371696,-0.20279343,-0.11271569,-0.07306863,0.120864235,0.06366907,-0.097558945,-0.095319964,0.023729062,0.040200192,0.014574792,0.017601643,0.03889944,0.05268603,0.015034369,0.01176136,0.012518462,0.05831884,0.043087587,0.059427876,0.0116232205,0.01995361,0.02595511,0.029050943
Exp2,3,378,0.62213975,-0.010102791,-0.31500536,-0.2507708,-0.40866658,-0.08258039,-0.38383803,-0.2520838,0.3569297,0.061507933,-0.34673163,0.014403984,-0.19037236,0.009936592,-0.11966039,0.0046593673,0.014062756,0.013688051,0.005050482,0.008106717,0.0010966404,0.007321128,0.009094819,0.009504639,0.00067957374,0.0020561926,0.017458698,0.032650005,0.009838959,0.0050343415,0.010554709,0.005763059,0.012689093
Exp2,4,420,0.9675386,0.27995965,0.094321676,-0.13568562,-0.07547432,0.1933729,0.21121219,-0.2951078,0.09678377,-0.013217,0.20919867,-0.41957894,0.20416965,0.22798914,0.24461181,-0.19243589,-0.25293338,0.006442541,0.021385057,0.013767155,0.023513973,0.008592704,0.02966956,0.012790085,0.025571965,0.0033523275,0.0330746,0.00894379,0.029348195,0.0026448327,0.002974063,0.0065930537,0.0070042824
Exp2,5,336,0.08897841,0.3098907,0.23625676,-0.06777306,0.1369168,0.22374639,0.35280797,-0.13560294,-0.09639833,-0.057992265,0.34935975,-0.41691795,0.30063823,0.21318796,0.2965297,-0.1362437,-0.19119532,0.003899965,0.0040705767,0.003016998,0.0038151098,0.0019044578,0.001493534,0.0047142897,0.0046970965,0.0020142798,0.002379958,0.00090492296,0.0024234164,0.0017126907,0.0022550644,0.0031821418,0.0019935858
