dataset,direction_id,window_id,window_index,center_cycle,stage_label,stage,Hx,Hy,AWR_M3_equal,AWR_M3_weighted,alpha_x,alpha_y
Exp1,Exp1_to_Exp2,0,0,10.5,Stage 1,1,0.17346220599484546,-0.6547039708682509,-0.24062088243670274,-0.48907073549563174,0.2,0.8
Exp1,Exp1_to_Exp2,1,1,15.5,Stage 1,1,0.04506303235190112,-0.22255710373791324,-0.08874703569300606,-0.1690330765199504,0.2,0.8
Exp1,Exp1_to_Exp2,2,2,20.5,Stage 1,1,0.10122378001914606,0.007103106078310245,0.05416344304872815,0.02592724086647741,0.2,0.8
Exp1,Exp1_to_Exp2,3,3,25.5,Stage 1,1,0.15837994338811173,0.15936070588446793,0.15887032463628983,0.1591645533851967,0.2,0.8
Exp1,Exp1_to_Exp2,4,4,30.5,Stage 1,1,0.2654412533684015,0.138983865300487,0.20221255933444426,0.16427534291406992,0.2,0.8
Exp1,Exp1_to_Exp2,5,5,35.5,Stage 1,1,0.38065260196686834,-0.01785053723597948,0.18140103236544444,0.06185009060459009,0.2,0.8
Exp1,Exp1_to_Exp2,6,6,40.5,Stage 1,1,0.4222496579661049,-0.16150122467665415,0.13037421664472537,-0.04475104814810234,0.2,0.8
Exp1,Exp1_to_Exp2,7,7,45.5,Stage 1,1,0.49078415447874324,-0.24217457711718413,0.12430478868077956,-0.09558283079799866,0.2,0.8
Exp1,Exp1_to_Exp2,8,8,50.5,Stage 1,1,0.5119680474092368,-0.2166704027345114,0.1476488223373627,-0.07094271270576176,0.2,0.8
Exp1,Exp1_to_Exp2,9,9,55.5,Stage 1,1,0.4998590450006516,-0.14560812261298273,0.17712546119383443,-0.01651468909025587,0.2,0.8
Exp1,Exp1_to_Exp2,10,10,60.5,Stage 1,1,0.4730472462727856,-0.029542377477425417,0.22175243439768008,0.07097554727261679,0.2,0.8
Exp1,Exp1_to_Exp2,11,11,65.5,Stage 1,1,0.3881066357100473,0.08932128017358813,0.2387139579418177,0.14907835128087998,0.2,0.8
Exp1,Exp1_to_Exp2,12,12,70.5,Stage 1,1,0.952378171362377,0.8890237305263764,0.9207009509443767,0.9016946186935766,0.2,0.8
Exp1,Exp1_to_Exp2,13,13,75.5,Stage 1,1,0.8810714668656117,0.887588698502158,0.8843300826838849,0.8862852521748488,0.2,0.8
Exp1,Exp1_to_Exp2,14,14,80.5,Stage 1,1,0.8316537638448932,0.954289832477255,0.8929717981610741,0.9297626187507827,0.2,0.8
Exp1,Exp1_to_Exp2,15,15,85.5,Stage 1,1,0.8011504158663703,0.8998606783831057,0.850505547124738,0.8801186258797586,0.2,0.8
Exp1,Exp1_to_Exp2,16,16,90.5,Stage 1,1,0.07655025320967936,0.1560548443706876,0.11630254879018348,0.14015392613848593,0.2,0.8
Exp1,Exp1_to_Exp2,17,17,95.5,Stage 1,1,0.12545604583784575,0.18343169288168543,0.1544438693597656,0.1718365634729175,0.2,0.8
Exp1,Exp1_to_Exp2,18,18,100.5,Stage 1,1,0.12547724844962,0.0432550167590191,0.08436613260431955,0.05969946309713928,0.2,0.8
Exp1,Exp1_to_Exp2,19,19,105.5,Stage 1,1,0.09674216400248485,-0.01907071560405573,0.038835724199214564,0.004091860317252387,0.2,0.8
Exp1,Exp1_to_Exp2,20,20,110.5,Stage 1,1,0.2063880453524912,-0.06875455923425475,0.06881674305911822,-0.01372603831690556,0.2,0.8
Exp1,Exp1_to_Exp2,21,21,115.5,Stage 1,1,0.1919128724101153,-0.08858221624062729,0.051665328084744,-0.032483198510478775,0.2,0.8
Exp1,Exp1_to_Exp2,22,22,120.5,Stage 1,1,0.1477744850825434,-0.0679972991632627,0.03988859295964035,-0.024842942314101488,0.2,0.8
Exp1,Exp1_to_Exp2,23,23,125.5,Stage 1,1,0.14612686490066254,-0.08934520777193959,0.028390828564361474,-0.04225079323741917,0.2,0.8
Exp1,Exp1_to_Exp2,24,24,130.5,Stage 1,1,0.08760581974611538,-0.1744508808372399,-0.043422530545562256,-0.12203954072056884,0.2,0.8
Exp1,Exp1_to_Exp2,25,25,135.5,Stage 1,1,0.0014730279554262954,-0.21055957334325157,-0.10454327269391264,-0.168153053083516,0.2,0.8
Exp1,Exp1_to_Exp2,26,26,140.5,Stage 1,1,-0.018317297258258272,-0.26247543164492887,-0.14039636445159356,-0.21364380476759476,0.2,0.8
Exp1,Exp1_to_Exp2,27,27,145.5,Stage 1,1,0.0014293495611165247,-0.2407528761315883,-0.1196617632852359,-0.19231643099304735,0.2,0.8
Exp1,Exp1_to_Exp2,28,28,150.5,Stage 1,1,-0.015407025747437977,-0.25773034803073364,-0.1365686868890858,-0.20926568357407452,0.2,0.8
Exp1,Exp1_to_Exp2,29,29,155.5,Stage 1,1,0.05182534149342266,-0.2760152992423818,-0.11209497887447956,-0.2104471710952209,0.2,0.8
Exp1,Exp1_to_Exp2,30,30,160.5,Stage 1,1,0.08944730547296709,-0.19497904785159265,-0.05276587118931278,-0.13809377718668073,0.2,0.8
Exp1,Exp1_to_Exp2,31,31,165.5,Stage 1,1,0.048645242207734585,-0.2669378477510058,-0.10914630277163562,-0.20382122975925773,0.2,0.8
Exp1,Exp1_to_Exp2,32,32,170.5,Stage 1,1,0.016209242863522863,-0.18239342059115934,-0.08309208886381825,-0.14267288790022292,0.2,0.8
Exp1,Exp1_to_Exp2,33,33,175.5,Stage 1,1,-0.04020355945396153,-0.16152153281416043,-0.10086254613406098,-0.13725793814212064,0.2,0.8
Exp1,Exp1_to_Exp2,34,34,180.5,Stage 1,1,0.35854922655582555,0.6357046429961448,0.4971269347759852,0.5802735597080809,0.2,0.8
Exp1,Exp1_to_Exp2,35,35,185.5,Stage 1,1,0.34507834779239716,0.7457728281109557,0.5454255879516764,0.665633932047244,0.2,0.8
Exp1,Exp1_to_Exp2,36,36,190.5,Stage 1,1,0.344292245677646,0.680757044160464,0.512524644919055,0.6134640844639004,0.2,0.8
Exp1,Exp1_to_Exp2,37,37,195.5,Stage 1,1,0.3049921165033468,0.6853038526820947,0.49514798459272075,0.6092415054463451,0.2,0.8
Exp1,Exp1_to_Exp2,38,38,200.5,Stage 1,1,-0.1839255760534459,-0.17712309102214877,-0.18052433353779734,-0.1784835880284082,0.2,0.8
Exp1,Exp1_to_Exp2,39,39,205.5,Stage 1,1,-0.2057329801391145,-0.26089458268490734,-0.23331378141201092,-0.2498622621757488,0.2,0.8
