direction_id,source_dataset,target_dataset,feature_name,channel,feature_family,early_median,late_median,delta_median,direction_sign,cohen_d,cliffs_delta,abs_effect_size,physical_meaning,direction_stability,is_weak_direction,is_unstable_direction,enter_M1,enter_M2,enter_M3,redundancy_factor,redundancy_notes
Exp1_to_Exp2,Exp1,Exp2,rx_mean,rx,mean,-5.418233035073491,-4.214483552517985,1.203749482555506,1,0.3749314225550241,0.5096114405560659,0.5096114405560659,Fx/Fz main shear ratio; signed average shear ratio in the sensitive phase,1.0,False,False,True,True,True,0.5,downweighted_redundant_with_rx_absmean_r=1.000
Exp1_to_Exp2,Exp1,Exp2,rx_absmean,rx,absmean,-5.418233035073491,-4.214483552517985,1.203749482555506,1,0.3749314225550241,0.5096114405560659,0.5096114405560659,Fx/Fz main shear ratio; average shear magnitude in the sensitive phase,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,rx_rms,rx,rms,-4.8845503159913894,-4.6876414201809595,0.19690889581042992,1,-0.366004641766353,0.018224338094045,0.018224338094045,Fx/Fz main shear ratio; energy-like shear ratio magnitude,0.902,True,False,False,False,False,0.0,
Exp1_to_Exp2,Exp1,Exp2,rx_q05,rx,q05,-7.355713711991321,-3.5550206458201594,3.8006930661711613,1,1.4599398413475808,0.6697903616470391,0.6697903616470391,Fx/Fz main shear ratio; lower-tail sensitive-phase shear ratio,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,rx_q95,rx,q95,-3.6904187919521676,-8.485420563283247,-4.79500177133108,-1,-4.807401670209306,-0.9983827810103597,0.9983827810103597,Fx/Fz main shear ratio; upper-tail sensitive-phase shear ratio,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,rx_p2p,rx,p2p,3.8624564223647253,-12.0,-15.862456422364726,-1,-7.1259866569526125,-1.0,1.0,Fx/Fz main shear ratio; peak-to-peak sensitive-phase span,1.0,False,False,True,True,True,0.25,downweighted_redundant_with_rs_p2p_r=0.981;downweighted_redundant_with_rs_std_r=0.956
Exp1_to_Exp2,Exp1,Exp2,rx_std,rx,std,2.691234669167015,-12.0,-14.691234669167015,-1,-12.906910525977404,-1.0,1.0,Fx/Fz main shear ratio; within-phase dispersion,1.0,False,False,True,True,True,0.25,downweighted_redundant_with_rs_p2p_r=0.953;downweighted_redundant_with_rs_std_r=0.988
Exp1_to_Exp2,Exp1,Exp2,rx_corrdist_base,rx,corrdist_base,1.257002114700304,12.0,10.742997885299696,1,11.194373643493424,1.0,1.0,Fx/Fz main shear ratio; shape departure from the baseline mean waveform,1.0,False,False,True,True,True,0.5,downweighted_redundant_with_rs_corrdist_base_r=0.988
Exp1_to_Exp2,Exp1,Exp2,rx_peak_phase,rx,peak_phase,8.230762139650896,-7.3076860118398175,-15.538448151490712,-1,-2.4176742758857537,-0.9034778869740867,0.9034778869740867,Fx/Fz main shear ratio; phase location of the largest absolute response,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,rx_peak_width,rx,peak_width,-2.63636356720189,6.948051765778375,9.584415332980265,1,10.982118324480679,1.0,1.0,Fx/Fz main shear ratio; fraction of sensitive phase near the peak response,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,ry_mean,ry,mean,1.068109359804808,-6.728109256361288,-7.796218616166096,-1,-5.474703156501768,-1.0,1.0,Fy/Fz lateral shear ratio; signed average shear ratio in the sensitive phase,1.0,False,False,True,True,True,0.5,downweighted_redundant_with_ry_absmean_r=0.998
Exp1_to_Exp2,Exp1,Exp2,ry_absmean,ry,absmean,-0.9843006787796345,7.625651141449919,8.609951820229554,1,6.743109256730975,1.0,1.0,Fy/Fz lateral shear ratio; average shear magnitude in the sensitive phase,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,ry_rms,ry,rms,-2.267778361744793,12.0,14.267778361744792,1,20.66200063756328,1.0,1.0,Fy/Fz lateral shear ratio; energy-like shear ratio magnitude,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,ry_q05,ry,q05,10.142213630122283,-12.0,-22.142213630122285,-1,-8.315422186244922,-1.0,1.0,Fy/Fz lateral shear ratio; lower-tail sensitive-phase shear ratio,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,ry_q95,ry,q95,0.8899135827691054,-2.314588515900186,-3.2045020986692916,-1,-1.7054355928970257,-1.0,1.0,Fy/Fz lateral shear ratio; upper-tail sensitive-phase shear ratio,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,ry_p2p,ry,p2p,-0.4185950814786566,8.308403151627095,8.726998233105752,1,5.868960515086012,1.0,1.0,Fy/Fz lateral shear ratio; peak-to-peak sensitive-phase span,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,ry_std,ry,std,0.004757818563568326,4.103478804126764,4.098720985563196,1,2.7029167409982584,0.8273176375239351,0.8273176375239351,Fy/Fz lateral shear ratio; within-phase dispersion,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,ry_corrdist_base,ry,corrdist_base,3.1056072544366162,9.470787011891959,6.365179757455342,1,3.9675280445692747,0.961053110238778,0.961053110238778,Fy/Fz lateral shear ratio; shape departure from the baseline mean waveform,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,ry_peak_phase,ry,peak_phase,1.5543100584417226e-13,3.499995100008414,3.4999951000082588,1,0.06735995849897948,0.12745219954774778,0.12745219954774778,Fy/Fz lateral shear ratio; phase location of the largest absolute response,0.954,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,ry_peak_width,ry,peak_width,-0.16666666105555575,1.1166666290722236,1.2833332901277794,1,0.5492292687286481,0.6600765302176812,0.6600765302176812,Fy/Fz lateral shear ratio; fraction of sensitive phase near the peak response,1.0,False,False,True,True,True,1.0,
Exp1_to_Exp2,Exp1,Exp2,rs_mean,rs,mean,-5.634665460805152,-3.3335764020118592,2.301089058793293,1,1.0500371254549365,0.6594894067206771,0.6594894067206771,resultant shear ratio contrast; signed average shear ratio in the sensitive phase,1.0,False,False,True,True,False,0.5,downweighted_redundant_with_rs_absmean_r=1.000
Exp1_to_Exp2,Exp1,Exp2,rs_absmean,rs,absmean,-5.634665460805152,-3.3335764020118592,2.301089058793293,1,1.0500371254549365,0.6594894067206771,0.6594894067206771,resultant shear ratio contrast; average shear magnitude in the sensitive phase,1.0,False,False,True,True,False,1.0,
Exp1_to_Exp2,Exp1,Exp2,rs_rms,rs,rms,-5.060359941050758,-3.7698421933184485,1.2905177477323098,1,0.55331747105145,0.5593777357078118,0.5593777357078118,resultant shear ratio contrast; energy-like shear ratio magnitude,1.0,False,False,True,True,False,0.25,downweighted_redundant_with_rs_absmean_r=0.976;downweighted_redundant_with_rs_mean_r=0.976
Exp1_to_Exp2,Exp1,Exp2,rs_q05,rs,q05,-8.031669247286356,-3.0362380876008728,4.995431159685483,1,1.6275263527042305,0.7479130512789578,0.7479130512789578,resultant shear ratio contrast; lower-tail sensitive-phase shear ratio,1.0,False,False,True,True,False,1.0,
Exp1_to_Exp2,Exp1,Exp2,rs_q95,rs,q95,-3.863627467217995,-7.222942637641481,-3.3593151704234856,-1,-2.0251242266787033,-0.7939573917858391,0.7939573917858391,resultant shear ratio contrast; upper-tail sensitive-phase shear ratio,1.0,False,False,True,True,False,1.0,
Exp1_to_Exp2,Exp1,Exp2,rs_p2p,rs,p2p,3.3641816559640283,-10.609778539890478,-13.973960195854506,-1,-9.12080173337381,-1.0,1.0,resultant shear ratio contrast; peak-to-peak sensitive-phase span,1.0,False,False,True,True,False,1.0,
Exp1_to_Exp2,Exp1,Exp2,rs_std,rs,std,2.804526937449933,-12.0,-14.804526937449932,-1,-14.651012391389155,-1.0,1.0,resultant shear ratio contrast; within-phase dispersion,1.0,False,False,True,True,False,0.5,downweighted_redundant_with_rs_p2p_r=0.972
Exp1_to_Exp2,Exp1,Exp2,rs_corrdist_base,rs,corrdist_base,1.1433950908645454,12.0,10.856604909135454,1,11.58502616837037,1.0,1.0,resultant shear ratio contrast; shape departure from the baseline mean waveform,1.0,False,False,True,True,False,1.0,
Exp2_to_Exp1,Exp2,Exp1,rx_mean,rx,mean,-1.7143798944955424,9.331820127122892,11.046200021618434,1,6.45058552907053,1.0,1.0,Fx/Fz main shear ratio; signed average shear ratio in the sensitive phase,1.0,False,False,True,True,True,0.5,downweighted_redundant_with_rx_absmean_r=1.000
Exp2_to_Exp1,Exp2,Exp1,rx_absmean,rx,absmean,-1.7143798944955424,9.331820127122892,11.046200021618434,1,6.45058552907053,1.0,1.0,Fx/Fz main shear ratio; average shear magnitude in the sensitive phase,1.0,False,False,True,True,True,1.0,
Exp2_to_Exp1,Exp2,Exp1,rx_rms,rx,rms,-1.3248923739033212,9.04682018603344,10.37171255993676,1,6.475758567174827,1.0,1.0,Fx/Fz main shear ratio; energy-like shear ratio magnitude,1.0,False,False,True,True,True,0.125,downweighted_redundant_with_rx_absmean_r=0.996;downweighted_redundant_with_rx_mean_r=0.996;downweighted_redundant_with_rx_q95_r=0.950
Exp2_to_Exp1,Exp2,Exp1,rx_q05,rx,q05,-1.267505523267664,2.065320606561509,3.332826129829173,1,4.420959887417755,1.0,1.0,Fx/Fz main shear ratio; lower-tail sensitive-phase shear ratio,1.0,False,False,True,True,True,1.0,
Exp2_to_Exp1,Exp2,Exp1,rx_q95,rx,q95,-0.2006500625097937,4.434468713737605,4.635118776247398,1,6.423040358839649,1.0,1.0,Fx/Fz main shear ratio; upper-tail sensitive-phase shear ratio,1.0,False,False,True,True,True,1.0,
Exp2_to_Exp1,Exp2,Exp1,rx_p2p,rx,p2p,0.1425646445848946,2.3275429481831864,2.184978303598292,1,3.495717208017212,1.0,1.0,Fx/Fz main shear ratio; peak-to-peak sensitive-phase span,1.0,False,False,True,True,True,1.0,
Exp2_to_Exp1,Exp2,Exp1,rx_std,rx,std,0.02406753810604539,1.8130680624905802,1.7890005243845348,1,3.37355701192035,1.0,1.0,Fx/Fz main shear ratio; within-phase dispersion,1.0,False,False,True,True,True,0.25,downweighted_redundant_with_rs_std_r=0.961;downweighted_redundant_with_rx_p2p_r=0.985
Exp2_to_Exp1,Exp2,Exp1,rx_corrdist_base,rx,corrdist_base,0.4575986970840786,7.359762257031736,6.902163559947658,1,8.001494795142989,1.0,1.0,Fx/Fz main shear ratio; shape departure from the baseline mean waveform,1.0,False,False,True,True,True,1.0,
Exp2_to_Exp1,Exp2,Exp1,rx_peak_phase,rx,peak_phase,0.0,-1.54166235001175,-1.54166235001175,-1,-1.182353911508954,-0.7026969864931882,0.7026969864931882,Fx/Fz main shear ratio; phase location of the largest absolute response,1.0,False,False,True,True,True,1.0,
Exp2_to_Exp1,Exp2,Exp1,rx_peak_width,rx,peak_width,-0.5050709877064296,-0.7890466434449841,-0.28397565573855454,-1,-0.6539117221914423,-0.2921249161294087,0.2921249161294087,Fx/Fz main shear ratio; fraction of sensitive phase near the peak response,0.954,False,False,True,True,True,1.0,
Exp2_to_Exp1,Exp2,Exp1,ry_mean,ry,mean,0.3858688895668732,0.2042607347516513,-0.1816081548152219,-1,-0.364807260228063,-0.23988447737681962,0.23988447737681962,Fy/Fz lateral shear ratio; signed average shear ratio in the sensitive phase,0.912,False,False,True,True,True,0.25,downweighted_redundant_with_ry_rms_r=1.000;downweighted_redundant_with_ry_absmean_r=1.000
Exp2_to_Exp1,Exp2,Exp1,ry_absmean,ry,absmean,-0.3858688895668732,-0.2042607347516513,0.1816081548152219,1,0.364807260228063,0.23988447737681962,0.23988447737681962,Fy/Fz lateral shear ratio; average shear magnitude in the sensitive phase,0.912,False,False,True,True,True,0.5,downweighted_redundant_with_ry_rms_r=1.000
Exp2_to_Exp1,Exp2,Exp1,ry_rms,ry,rms,-0.39724057692663506,-0.17966751294737193,0.21757306397926313,1,0.4527958752308373,0.25129087779690185,0.25129087779690185,Fy/Fz lateral shear ratio; energy-like shear ratio magnitude,0.924,False,False,True,True,True,1.0,
Exp2_to_Exp1,Exp2,Exp1,ry_q05,ry,q05,0.6805436615793947,-0.378691730522807,-1.0592353921022017,-1,-1.8045405280964852,-0.7856705271448992,0.7856705271448992,Fy/Fz lateral shear ratio; lower-tail sensitive-phase shear ratio,1.0,False,False,True,True,True,1.0,
