direction_id,source_dataset,target_dataset,feature_name,channel,feature_family,direction_sign,abs_effect_size,direction_stability,redundancy_factor,raw_weight,normalized_weight,enter_M2,enter_M3,reason_excluded,physical_meaning
Exp1_to_Exp2,Exp1,Exp2,rx_mean,rx,mean,1,0.5096114405560659,1.0,0.5,0.25480572027803294,0.013716153394512244,True,True,downweighted_redundant_with_rx_absmean_r=1.000,Fx/Fz main shear ratio; signed average shear ratio in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,rx_absmean,rx,absmean,1,0.5096114405560659,1.0,1.0,0.5096114405560659,0.027432306789024488,True,True,,Fx/Fz main shear ratio; average shear magnitude in the sensitive phase
Exp1_to_Exp2,Exp1,Exp2,rx_rms,rx,rms,1,0.018224338094045,0.902,0.0,0.0,0.0,False,False,weak_or_zero_direction,Fx/Fz main shear ratio; energy-like shear ratio magnitude
Exp1_to_Exp2,Exp1,Exp2,rx_q05,rx,q05,1,0.6697903616470391,1.0,1.0,0.6697903616470391,0.036054713891400164,True,True,,Fx/Fz main shear ratio; lower-tail sensitive-phase shear ratio
Exp1_to_Exp2,Exp1,Exp2,rx_q95,rx,q95,-1,0.9983827810103597,1.0,1.0,0.9983827810103597,0.05374279414071063,True,True,,Fx/Fz main shear ratio; upper-tail sensitive-phase shear ratio
Exp1_to_Exp2,Exp1,Exp2,rx_p2p,rx,p2p,-1,1.0,1.0,0.25,0.25,0.013457462198597595,True,True,downweighted_redundant_with_rs_p2p_r=0.981;downweighted_redundant_with_rs_std_r=0.956,Fx/Fz main shear ratio; peak-to-peak sensitive-phase span
Exp1_to_Exp2,Exp1,Exp2,rx_std,rx,std,-1,1.0,1.0,0.25,0.25,0.013457462198597595,True,True,downweighted_redundant_with_rs_p2p_r=0.953;downweighted_redundant_with_rs_std_r=0.988,Fx/Fz main shear ratio; within-phase dispersion
Exp1_to_Exp2,Exp1,Exp2,rx_corrdist_base,rx,corrdist_base,1,1.0,1.0,0.5,0.5,0.02691492439719519,True,True,downweighted_redundant_with_rs_corrdist_base_r=0.988,Fx/Fz main shear ratio; shape departure from the baseline mean waveform
Exp1_to_Exp2,Exp1,Exp2,rx_peak_phase,rx,peak_phase,-1,0.9034778869740867,1.0,1.0,0.9034778869740867,0.04863407804489041,True,True,,Fx/Fz main shear ratio; phase location of the largest absolute response
Exp1_to_Exp2,Exp1,Exp2,rx_peak_width,rx,peak_width,1,1.0,1.0,1.0,1.0,0.05382984879439038,True,True,,Fx/Fz main shear ratio; fraction of sensitive phase near the peak response
