dataset,window_id,window_index,center_cycle,continuous_progression_score,continuous_evidence,continuous_calibration_size,state_model_input,uses_global_time_ranking,uses_absolute_wear
Exp1,0,0,10.5,0.0,0.0,0,False,False,False
Exp1,1,1,15.5,0.0,983394.0874683629,1,False,False,False
Exp1,2,2,20.5,0.0,1.9922854650281647,2,False,False,False
Exp1,3,3,25.5,0.0,0.9758020628173676,3,False,False,False
Exp1,4,4,30.5,0.0,0.7045633724922499,4,False,False,False
Exp1,5,5,35.5,0.0,0.4860678028468105,5,False,False,False
Exp1,6,6,40.5,0.0,0.3266533180322341,6,False,False,False
Exp1,7,7,45.5,0.0,0.4806707920325356,7,False,False,False
Exp1,8,8,50.5,0.0,0.4565948458132832,8,False,False,False
Exp1,9,9,55.5,0.0,0.36804320386743417,9,False,False,False
Exp1,10,10,60.5,0.0,0.604611787233658,10,False,False,False
Exp1,11,11,65.5,0.0,0.2241802314252424,11,False,False,False
Exp1,12,12,70.5,0.0,0.3745537346075619,12,False,False,False
Exp1,13,13,75.5,0.0,0.24469899247701593,13,False,False,False
Exp1,14,14,80.5,0.0,0.12844307878671601,14,False,False,False
Exp1,15,15,85.5,0.0,0.13531949181176028,15,False,False,False
Exp1,16,16,90.5,0.0,0.3223414997060067,16,False,False,False
Exp1,17,17,95.5,0.0,0.24008467457304794,17,False,False,False
Exp1,18,18,100.5,0.0,0.21772100311636047,18,False,False,False
Exp1,19,19,105.5,0.0,0.20252076289426624,19,False,False,False
Exp1,20,20,110.5,0.0,0.3750919493598527,20,False,False,False
Exp1,21,21,115.5,0.0,0.3085250716438658,21,False,False,False
Exp1,22,22,120.5,0.0,0.13714048303511808,22,False,False,False
Exp1,23,23,125.5,0.0,0.22246193952792814,23,False,False,False
Exp1,24,24,130.5,0.0,0.4179736010686157,24,False,False,False
Exp1,25,25,135.5,0.0,0.26964291305139637,25,False,False,False
Exp1,26,26,140.5,0.0,0.16885544889860943,26,False,False,False
Exp1,27,27,145.5,0.0,0.08274886703802445,27,False,False,False
Exp1,28,28,150.5,0.0,0.06734512137147351,28,False,False,False
Exp1,29,29,155.5,0.0,0.10825981645111198,29,False,False,False
Exp1,30,30,160.5,0.0,0.14918748327856665,30,False,False,False
Exp1,31,31,165.5,0.0,0.15674952071631032,31,False,False,False
Exp1,32,32,170.5,-0.4458379820470668,0.1670218184576815,32,False,False,False
Exp1,33,33,175.5,-0.5734225787426277,0.13365986291045526,33,False,False,False
Exp1,34,34,180.5,0.5063898360657323,0.33855529924414607,34,False,False,False
Exp1,35,35,185.5,-0.1772655420101326,0.21269339358444417,35,False,False,False
Exp1,36,36,190.5,-0.24282713116655313,0.2008190094778302,36,False,False,False
Exp1,37,37,195.5,-0.7792163230564285,0.1139645971713936,37,False,False,False
Exp1,38,38,200.5,1.062765528704146,0.40850851832987983,38,False,False,False
Exp1,39,39,205.5,0.22407329167570866,0.2797554027507079,39,False,False,False
Exp1,40,40,210.5,0.22553510002355043,0.28060859409379163,40,False,False,False
Exp1,41,41,215.5,0.23550551221307214,0.2828899906009494,41,False,False,False
Exp1,42,42,220.5,1.5263051496927715,0.5154301114960561,42,False,False,False
Exp1,43,43,225.5,1.2912022153635014,0.48970680831759084,43,False,False,False
Exp1,44,44,230.5,0.545974616752062,0.3744320234305353,44,False,False,False
Exp1,45,45,235.5,0.8363867133329702,0.4322860103978877,45,False,False,False
Exp1,46,46,240.5,-0.5321001315154451,0.18087671227990834,46,False,False,False
Exp1,47,47,245.5,0.22458524144681027,0.3207126810053578,47,False,False,False
Exp1,48,48,250.5,-0.2698797016954883,0.23167212279279312,48,False,False,False
Exp1,49,49,255.5,-0.08097869879046592,0.26536934365234954,49,False,False,False
Exp1,50,50,260.5,-0.24574317847424829,0.2331116132925263,50,False,False,False
Exp1,51,51,265.5,-0.559496813061963,0.17966962365865524,51,False,False,False
Exp1,52,52,270.5,-0.08301110957769703,0.25433902597394503,52,False,False,False
Exp1,53,53,275.5,-0.6018123110448286,0.16845363984471845,53,False,False,False
Exp1,54,54,280.5,-0.9432671827149692,0.11210835254548825,54,False,False,False
Exp1,55,55,285.5,-0.43502705318879337,0.18651931886257822,55,False,False,False
Exp1,56,56,290.5,-0.15451220744535457,0.22593175386524952,56,False,False,False
Exp1,57,57,295.5,-0.01680952298257823,0.24213584194988355,57,False,False,False
Exp1,58,58,300.5,-0.3673566611347761,0.1881466293683129,58,False,False,False
Exp1,59,59,305.5,0.5951930986190386,0.33047959149267114,59,False,False,False
Exp1,60,60,310.5,-0.7899464643525702,0.1277676320420214,60,False,False,False
Exp1,61,61,315.5,0.20246044966165397,0.27298915975539595,61,False,False,False
Exp1,62,62,320.5,-0.2807188765573362,0.20153311496055595,62,False,False,False
Exp1,63,63,325.5,-0.3923677754070705,0.184844016213456,63,False,False,False
Exp1,64,64,330.5,-0.422962334439735,0.18069959562881657,64,False,False,False
Exp1,65,65,335.5,3.2305796433407505,0.6912009485283461,65,False,False,False
Exp1,66,66,340.5,-0.3255786692451797,0.19455233915989079,66,False,False,False
Exp1,67,67,345.5,-0.007173167975177678,0.2390687699845439,67,False,False,False
Exp1,68,68,350.5,0.39473568832262224,0.29493871160163915,68,False,False,False
Exp1,69,69,355.5,2.654925168649874,0.6087898344680722,69,False,False,False
Exp1,70,70,360.5,-0.20683162524245283,0.21165845537800343,70,False,False,False
Exp1,71,71,365.5,-0.41594876172361783,0.1813617561661464,71,False,False,False
Exp1,72,72,370.5,0.03790157509790329,0.2448814811133721,72,False,False,False
Exp1,73,73,375.5,-0.1068957537429774,0.2252534639031612,73,False,False,False
Exp1,74,74,380.5,-1.1834272144703675,0.08195610030652456,74,False,False,False
Exp1,75,75,385.5,-0.9020540443010006,0.12371344509338567,75,False,False,False
Exp1,76,76,390.5,-0.5820659149502586,0.16468672351740843,76,False,False,False
Exp1,77,77,395.5,-0.9378526475697384,0.12265101172932458,77,False,False,False
Exp1,78,78,400.5,-0.6081473228222039,0.15801784891625875,78,False,False,False
Exp1,79,79,405.5,-0.9890688889455511,0.11006364599061655,79,False,False,False
Exp1,80,80,410.5,-0.7953639062960276,0.13187081883105653,80,False,False,False
Exp1,81,81,415.5,-1.416728475960805,0.05244931014452753,81,False,False,False
Exp1,82,82,420.5,-1.1559743016646462,0.07872908455155331,82,False,False,False
Exp1,83,83,425.5,-0.8412566966968282,0.11535479712426824,83,False,False,False
Exp1,84,84,430.5,-0.8418376324696294,0.11427564756894767,84,False,False,False
Exp1,85,85,435.5,-1.0907720682552684,0.0804765388644934,85,False,False,False
Exp1,86,86,440.5,-0.9580708425472256,0.09714177045691791,86,False,False,False
Exp1,87,87,445.5,-0.6433528949585552,0.13598204005813855,87,False,False,False
Exp1,88,88,450.5,-1.0156635187974905,0.07962378971516383,88,False,False,False
Exp1,89,89,455.5,-0.7297976220948412,0.11690210726321468,89,False,False,False
Exp1,90,90,460.5,-0.9713947031799302,0.08094794526092854,90,False,False,False
Exp1,91,91,465.5,-0.7389841888473627,0.11023402299444801,91,False,False,False
Exp1,92,92,470.5,-0.7359544381443704,0.10966206275784257,92,False,False,False
