dataset,window_id,window_index,center_cycle,continuous_progression_score,continuous_evidence,continuous_calibration_size,state_model_input,uses_global_time_ranking,uses_absolute_wear
Exp1,0,0,10.5,0.0,0.0,0,False,False,False
Exp1,1,1,15.5,0.0,983394.0874683629,1,False,False,False
Exp1,2,2,20.5,0.0,1.9922854650281647,2,False,False,False
Exp1,3,3,25.5,0.0,0.9758020628173676,3,False,False,False
Exp1,4,4,30.5,0.0,0.7045633724922499,4,False,False,False
Exp1,5,5,35.5,0.0,0.4860678028468105,5,False,False,False
Exp1,6,6,40.5,0.0,0.3266533180322341,6,False,False,False
Exp1,7,7,45.5,0.0,0.4806707920325356,7,False,False,False
Exp1,8,8,50.5,0.0,0.4565948458132832,8,False,False,False
Exp1,9,9,55.5,0.0,0.36804320386743417,9,False,False,False
Exp1,10,10,60.5,0.0,0.604611787233658,10,False,False,False
Exp1,11,11,65.5,0.0,0.2241802314252424,11,False,False,False
Exp1,12,12,70.5,0.0,0.3745537346075619,12,False,False,False
Exp1,13,13,75.5,0.0,0.24469899247701593,13,False,False,False
Exp1,14,14,80.5,0.0,0.12844307878671601,14,False,False,False
Exp1,15,15,85.5,0.0,0.13531949181176028,15,False,False,False
Exp1,16,16,90.5,0.0,0.3223414997060067,16,False,False,False
Exp1,17,17,95.5,0.0,0.24008467457304794,17,False,False,False
Exp1,18,18,100.5,0.0,0.21772100311636047,18,False,False,False
Exp1,19,19,105.5,0.0,0.20252076289426624,19,False,False,False
Exp1,20,20,110.5,0.0,0.3750919493598527,20,False,False,False
Exp1,21,21,115.5,0.0,0.3085250716438658,21,False,False,False
Exp1,22,22,120.5,0.0,0.13714048303511808,22,False,False,False
Exp1,23,23,125.5,0.0,0.22246193952792814,23,False,False,False
Exp1,24,24,130.5,0.0,0.4179736010686157,24,False,False,False
Exp1,25,25,135.5,0.0,0.26964291305139637,25,False,False,False
Exp1,26,26,140.5,0.0,0.16885544889860943,26,False,False,False
Exp1,27,27,145.5,0.0,0.08274886703802445,27,False,False,False
Exp1,28,28,150.5,0.0,0.06734512137147351,28,False,False,False
Exp1,29,29,155.5,0.0,0.10825981645111198,29,False,False,False
Exp1,30,30,160.5,0.0,0.14918748327856665,30,False,False,False
Exp1,31,31,165.5,0.0,0.15674952071631032,31,False,False,False
Exp1,32,32,170.5,-0.41483871773207964,0.17328991797962895,32,False,False,False
Exp1,33,33,175.5,-0.5512331878648388,0.1379566777552501,33,False,False,False
Exp1,34,34,180.5,0.3909784313136192,0.31663866531108664,34,False,False,False
Exp1,35,35,185.5,-0.26886116312009206,0.19615564644916747,35,False,False,False
Exp1,36,36,190.5,-0.08105325512151167,0.22851524281034624,36,False,False,False
Exp1,37,37,195.5,-0.8087175985665617,0.1091896674879505,37,False,False,False
Exp1,38,38,200.5,1.033371848716867,0.4057978627707506,38,False,False,False
Exp1,39,39,205.5,0.4037334159458272,0.31115743945136515,39,False,False,False
Exp1,40,40,210.5,0.30720947646266383,0.2942939332133542,40,False,False,False
Exp1,41,41,215.5,0.22909328765797335,0.2817788922643959,41,False,False,False
Exp1,42,42,220.5,1.5766477261026002,0.5239483500898349,42,False,False,False
Exp1,43,43,225.5,1.5031914582194672,0.5233049910077977,43,False,False,False
Exp1,44,44,230.5,0.45107686213324566,0.35779691519806056,44,False,False,False
Exp1,45,45,235.5,0.6719524187397347,0.40533113672512755,45,False,False,False
Exp1,46,46,240.5,-0.525708789135099,0.19569807619284774,46,False,False,False
Exp1,47,47,245.5,0.2083092848855443,0.31993668661222496,47,False,False,False
Exp1,48,48,250.5,-0.34074895352802975,0.22866188151539807,48,False,False,False
Exp1,49,49,255.5,0.09390072179093763,0.2979307365382663,49,False,False,False
Exp1,50,50,260.5,-0.0731960226621036,0.2754458071099576,50,False,False,False
Exp1,51,51,265.5,-0.6478599876399391,0.17757336453597977,51,False,False,False
Exp1,52,52,270.5,-0.1330629949905302,0.25825694244703745,52,False,False,False
Exp1,53,53,275.5,-0.7224846149083731,0.16870927484614,53,False,False,False
Exp1,54,54,280.5,-0.9986128601900973,0.1211166260249217,54,False,False,False
Exp1,55,55,285.5,-0.5968767756487028,0.17949188438571384,55,False,False,False
Exp1,56,56,290.5,-0.29289525097965585,0.2199815549143675,56,False,False,False
Exp1,57,57,295.5,-0.2642808346938507,0.21882761001404988,57,False,False,False
Exp1,58,58,300.5,-0.5468553383346286,0.1709838929550019,58,False,False,False
Exp1,59,59,305.5,0.5991237382036425,0.33315149106298697,59,False,False,False
Exp1,60,60,310.5,-0.8356363810295442,0.12947293432563006,60,False,False,False
Exp1,61,61,315.5,-0.023507684445726155,0.2412650353991644,61,False,False,False
Exp1,62,62,320.5,-0.9156113766467516,0.11136119359692939,62,False,False,False
Exp1,63,63,325.5,-0.9424729386556472,0.1064261596310964,63,False,False,False
Exp1,64,64,330.5,-0.0004271934642840216,0.2406141993466892,64,False,False,False
Exp1,65,65,335.5,3.461847758882368,0.7254819470625553,65,False,False,False
Exp1,66,66,340.5,-0.27078791194348983,0.20157719762214674,66,False,False,False
Exp1,67,67,345.5,-0.5750895548262935,0.1583365806923581,67,False,False,False
Exp1,68,68,350.5,0.5309548896091396,0.31573778210881215,68,False,False,False
Exp1,69,69,355.5,2.1360642175236695,0.5397921870180842,69,False,False,False
Exp1,70,70,360.5,0.3703947192969417,0.294781136035256,70,False,False,False
Exp1,71,71,365.5,0.05862216896538129,0.24965206385820204,71,False,False,False
Exp1,72,72,370.5,0.40001766752247825,0.2992948659401561,72,False,False,False
Exp1,73,73,375.5,-0.6002334209946747,0.16157711002534406,73,False,False,False
Exp1,74,74,380.5,-1.2927438499266757,0.06833414129618691,74,False,False,False
Exp1,75,75,385.5,-0.8475569489592736,0.13025213852536668,75,False,False,False
Exp1,76,76,390.5,-0.9581134192958433,0.11850379257012392,76,False,False,False
Exp1,77,77,395.5,-1.1665883190760926,0.09224009351183013,77,False,False,False
Exp1,78,78,400.5,-0.9589904053504892,0.11780607800820703,78,False,False,False
Exp1,79,79,405.5,-1.44444837362375,0.05469453468666939,79,False,False,False
Exp1,80,80,410.5,-0.9016709962051968,0.11389377008762439,80,False,False,False
Exp1,81,81,415.5,-1.2856791113875616,0.05420856452350479,81,False,False,False
Exp1,82,82,420.5,-1.0894076091422389,0.07934134751098929,82,False,False,False
Exp1,83,83,425.5,-0.8471516988494634,0.11111419192849889,83,False,False,False
Exp1,84,84,430.5,-0.684849373782482,0.13010060561481046,84,False,False,False
Exp1,85,85,435.5,-0.8449889116572414,0.10631910507806087,85,False,False,False
Exp1,86,86,440.5,-0.6332657041698831,0.13402483796324433,86,False,False,False
Exp1,87,87,445.5,-0.7644506741605125,0.1153591672196469,87,False,False,False
Exp1,88,88,450.5,-1.0966021654865972,0.06650765542543406,88,False,False,False
Exp1,89,89,455.5,-0.6492716253480937,0.12780564235481853,89,False,False,False
Exp1,90,90,460.5,-1.1046654631183315,0.06424180642930105,90,False,False,False
Exp1,91,91,465.5,-0.56550992075438,0.13757569815075024,91,False,False,False
Exp1,92,92,470.5,-0.8138939085297265,0.10361516687599515,92,False,False,False
